Sig Name,Drive F,Frame 123529,
Format,Mag,Scaling,EU

Hz,V
       4.001953,      0.3373666
       4.003897,      0.3370022
        4.00585,      0.3366747
       4.007803,      0.3363053
       4.009756,      0.3361576
       4.011709,      0.3355319
       4.013662,      0.3351851
       4.015615,      0.3349856
       4.017569,      0.3345433
       4.019522,      0.3341831
       4.021475,      0.3340015
       4.023428,      0.3335813
       4.025381,      0.3332905
       4.027334,      0.3329296
       4.029287,      0.3325414
        4.03124,      0.3324396
       4.033194,      0.3318884
       4.035147,      0.3316218
         4.0371,      0.3313733
       4.039053,      0.3308955
       4.041006,      0.3306304
       4.042959,      0.3302696
       4.044912,      0.3298978
       4.046865,      0.3296802
       4.048819,      0.3292913
       4.050772,      0.3288753
       4.052725,      0.3286315
       4.054678,      0.3282926
       4.056641,      0.3278725
       4.058594,       0.327751
       4.060547,      0.3271391
         4.0625,      0.3270435
       4.064453,      0.3265721
       4.066406,      0.3262452
       4.068359,      0.3259753
       4.070313,      0.3257238
       4.072266,      0.3253571
       4.074219,      0.3249506
       4.076172,      0.3247451
       4.078125,      0.3243458
       4.080078,      0.3240584
       4.082031,      0.3236439
       4.083984,      0.3234813
       4.085938,      0.3230405
       4.087891,      0.3227883
       4.089844,      0.3224352
       4.091797,       0.322159
        4.09375,      0.3217026
       4.095703,      0.3214764
       4.097656,      0.3211744
       4.099609,      0.3207703
       4.101563,      0.3204523
       4.103516,      0.3202117
       4.105469,      0.3197389
       4.107422,       0.319666
       4.109375,      0.3190416
       4.111338,      0.3190107
       4.113291,      0.3184805
       4.115244,      0.3182715
       4.117198,      0.3178819
       4.119151,      0.3174266
       4.121104,      0.3173833
       4.123057,      0.3167146
        4.12501,      0.3167954
       4.126963,       0.316142
       4.128916,      0.3162022
       4.130869,       0.315396
       4.132823,      0.3156098
       4.134776,       0.314761
       4.136729,      0.3148851
       4.138682,      0.3142464
       4.140635,      0.3141908
       4.142588,       0.313772
       4.144541,      0.3133979
       4.146494,      0.3131731
       4.148448,      0.3128041
       4.150401,      0.3126184
       4.152354,      0.3121657
       4.154307,      0.3119225
        4.15626,      0.3116503
       4.158213,      0.3112079
       4.160166,      0.3109655
       4.162119,       0.310681
       4.164073,      0.3105036
       4.166026,      0.3099793
       4.167988,       0.309794
       4.169941,      0.3093331
       4.171895,       0.309203
       4.173848,      0.3087499
       4.175801,      0.3086134
       4.177754,      0.3081013
       4.179707,      0.3079057
        4.18166,      0.3075367
       4.183613,      0.3072674
       4.185566,      0.3069467
        4.18752,      0.3067647
       4.189473,      0.3062856
       4.191426,      0.3060971
       4.193379,      0.3057067
       4.195332,      0.3054484
       4.197285,      0.3050904
       4.199238,       0.304815
       4.201191,       0.304426
       4.203145,      0.3041583
       4.205098,      0.3038274
       4.207051,      0.3036384
       4.209004,      0.3032869
       4.210957,      0.3029121
        4.21291,      0.3027462
       4.214863,      0.3022952
       4.216816,      0.3021003
        4.21877,      0.3017047
       4.220723,      0.3014527
       4.222676,      0.3010756
       4.224619,      0.3008757
       4.226573,      0.3004931
       4.228526,      0.3003432
       4.230479,      0.2999045
       4.232432,      0.2997469
       4.234385,       0.299213
       4.236357,      0.2991476
        4.23831,      0.2987252
       4.240263,      0.2985123
       4.242217,      0.2981879
        4.24417,      0.2978794
       4.246123,      0.2975368
       4.248076,      0.2972888
       4.250029,      0.2968977
       4.251982,      0.2967213
       4.253935,      0.2962415
       4.255888,       0.296057
       4.257842,      0.2957589
       4.259795,      0.2954657
       4.261748,      0.2952071
       4.263701,        0.29478
       4.265654,      0.2946382
       4.267607,      0.2942052
        4.26956,      0.2940608
       4.271513,       0.293635
       4.273467,      0.2931946
        4.27542,      0.2931794
       4.277373,      0.2926099
       4.279326,      0.2924873
       4.281279,      0.2921469
       4.283223,      0.2920212
       4.285176,      0.2915656
       4.287129,      0.2912968
       4.289082,      0.2909705
       4.291035,      0.2905326
       4.292988,      0.2903476
       4.294941,      0.2900374
       4.296895,      0.2896628
       4.298848,      0.2893785
       4.300801,       0.289245
       4.302754,      0.2889075
       4.304707,      0.2886326
        4.30666,      0.2883085
       4.308613,      0.2880188
       4.310566,        0.28776
        4.31252,      0.2874789
       4.314473,      0.2872848
       4.316426,      0.2868344
       4.318398,      0.2867036
       4.320352,      0.2863498
       4.322305,      0.2860542
       4.324258,      0.2857863
       4.326211,      0.2854431
       4.328164,      0.2852333
       4.330117,      0.2848757
        4.33207,      0.2846875
       4.334023,      0.2843989
       4.335977,      0.2840026
        4.33793,       0.283855
       4.339883,      0.2834184
       4.341836,      0.2833216
       4.343779,       0.282868
       4.345732,      0.2826886
       4.347685,      0.2823367
       4.349638,      0.2820698
       4.351592,      0.2818801
       4.353545,      0.2814195
       4.355498,       0.281276
       4.357451,      0.2807832
       4.359404,      0.2807163
       4.361357,      0.2803487
        4.36331,      0.2800573
       4.365263,      0.2798693
       4.367217,      0.2795035
        4.36917,      0.2793868
       4.371123,      0.2788574
       4.373076,      0.2788326
       4.375029,      0.2783942
       4.376982,      0.2782794
       4.378935,      0.2777279
       4.380888,      0.2777292
       4.382842,      0.2772666
       4.384795,      0.2771001
       4.386748,      0.2768427
       4.388701,       0.276452
       4.390654,      0.2763159
       4.392607,      0.2757934
        4.39456,      0.2758286
       4.396533,      0.2751552
       4.398486,      0.2751934
       4.400439,      0.2747904
       4.402392,      0.2745462
       4.404346,      0.2743417
       4.406289,      0.2739303
       4.408242,      0.2737961
       4.410195,      0.2734548
       4.412148,      0.2733314
       4.414102,      0.2728986
       4.416055,      0.2727633
       4.418008,       0.272437
       4.419961,      0.2720214
       4.421914,      0.2719037
       4.423867,      0.2714965
        4.42582,      0.2713654
       4.427773,      0.2710139
       4.429727,       0.270731
        4.43168,      0.2705623
       4.433633,       0.270189
       4.435586,      0.2698799
       4.437539,      0.2696074
       4.439492,      0.2693559
       4.441445,      0.2691674
       4.443398,      0.2687552
       4.445352,      0.2684357
       4.447305,      0.2685068
       4.449258,      0.2677964
       4.451211,      0.2677697
       4.453164,      0.2675787
       4.455117,      0.2669873
        4.45707,      0.2671171
       4.459023,       0.266546
       4.460977,      0.2662652
        4.46293,      0.2662811
       4.464883,      0.2656988
       4.466836,      0.2655473
       4.468789,      0.2651215
       4.470752,      0.2648875
       4.472705,      0.2646317
       4.474658,      0.2643821
       4.476611,      0.2639966
       4.478564,      0.2638063
       4.480517,      0.2634313
       4.482471,      0.2632489
       4.484424,      0.2628264
       4.486377,       0.262367
        4.48833,      0.2621665
       4.490283,      0.2619569
       4.492236,      0.2616399
       4.494189,      0.2612414
       4.496142,         0.2611
       4.498096,      0.2605788
       4.500049,      0.2601725
       4.502002,      0.2595438
       4.503955,      0.2591386
       4.505908,      0.2595147
       4.507861,       0.259454
       4.509814,      0.2589109
       4.511767,      0.2585574
       4.513721,      0.2584268
       4.515674,      0.2583393
       4.517627,       0.257966
        4.51958,      0.2579131
       4.521533,      0.2574874
       4.523486,      0.2575669
       4.525439,      0.2571345
       4.527392,      0.2568644
       4.529346,      0.2568169
       4.531299,      0.2562216
       4.533252,      0.2561309
       4.535215,      0.2563168
       4.537168,      0.2560322
       4.539121,       0.256023
       4.541074,      0.2555146
       4.543027,      0.2553616
       4.544981,      0.2551045
       4.546934,       0.254681
       4.548887,      0.2545484
        4.55084,      0.2542522
       4.552793,       0.253945
       4.554746,      0.2536647
       4.556699,      0.2534117
       4.558652,       0.253105
       4.560606,       0.253024
       4.562559,      0.2527142
       4.564512,      0.2523991
       4.566465,      0.2522812
       4.568418,      0.2518796
       4.570371,      0.2516897
       4.572324,      0.2516112
       4.574277,      0.2510057
       4.576231,       0.250826
       4.578184,      0.2507832
       4.580137,      0.2499356
        4.58209,      0.2498462
       4.584043,      0.2498567
       4.585996,      0.2493336
       4.587949,      0.2491291
       4.589902,      0.2488765
       4.591856,      0.2485386
       4.593809,      0.2480787
       4.595762,       0.248123
       4.597715,      0.2476348
       4.599668,      0.2470785
       4.601621,      0.2464806
       4.603584,      0.2473273
       4.605537,      0.2473865
        4.60749,      0.2469038
       4.609443,      0.2466541
       4.611396,      0.2465206
       4.613349,      0.2460812
       4.615303,      0.2457151
       4.617256,      0.2451008
       4.619209,      0.2450342
       4.621162,      0.2447794
       4.623115,      0.2444717
       4.625068,      0.2439875
       4.627021,      0.2438819
       4.628974,      0.2438214
       4.630928,      0.2432535
       4.632881,      0.2431018
       4.634834,      0.2429684
       4.636787,      0.2426101
