Sig Name,Drive F,Frame 62091,
Format,Mag,Scaling,EU

Hz,V
              4,      0.1625213
       4.001973,      0.1720121
       4.003926,      0.1716746
       4.005879,      0.1712999
       4.007832,      0.1713964
       4.009785,      0.1711474
       4.011738,      0.1708662
       4.013691,      0.1708803
       4.015645,      0.1706413
       4.017598,       0.170398
       4.019551,       0.170367
       4.021504,      0.1700937
       4.023457,      0.1699368
        4.02541,      0.1698029
       4.027363,      0.1695445
       4.029316,      0.1694284
        4.03127,      0.1692555
       4.033223,      0.1690053
       4.035176,       0.168931
       4.037129,      0.1686363
       4.039082,      0.1685138
       4.041035,      0.1683626
       4.042988,      0.1681099
       4.044941,      0.1679837
       4.046895,      0.1677636
       4.048848,      0.1675846
       4.050801,      0.1674433
       4.052754,      0.1671797
       4.054717,      0.1670992
        4.05665,      0.1668482
       4.058603,      0.1666297
       4.060556,      0.1665036
        4.06251,      0.1663214
       4.064463,       0.166144
       4.066416,      0.1659629
       4.068369,      0.1657408
       4.070322,      0.1656161
       4.072275,      0.1653557
       4.074228,      0.1652464
       4.076181,      0.1650037
       4.078135,      0.1648303
       4.080107,      0.1646418
        4.08206,      0.1644649
       4.084013,      0.1643092
       4.085967,      0.1640508
        4.08792,      0.1639736
       4.089873,      0.1637425
       4.091826,      0.1635561
       4.093779,      0.1634122
       4.095732,       0.163164
       4.097685,       0.163075
       4.099638,      0.1627881
       4.101592,      0.1626991
       4.103545,      0.1624529
       4.105498,      0.1623417
       4.107451,      0.1621349
       4.109395,      0.1618948
       4.111348,      0.1618418
       4.113301,      0.1615303
       4.115254,      0.1614901
       4.117207,      0.1612207
        4.11916,      0.1610749
       4.121113,      0.1609291
       4.123066,        0.16068
        4.12502,      0.1606233
       4.126973,      0.1603375
       4.128926,      0.1602406
       4.130879,      0.1599841
       4.132832,      0.1599514
       4.134785,      0.1596793
       4.136738,      0.1595489
       4.138691,      0.1593419
       4.140645,      0.1591818
       4.142598,      0.1589869
       4.144551,      0.1588463
       4.146504,      0.1586502
       4.148457,      0.1585087
        4.15041,      0.1583371
       4.152363,      0.1581537
       4.154316,      0.1579822
        4.15627,      0.1577941
       4.158223,      0.1576411
       4.160176,      0.1574574
       4.162148,      0.1572732
       4.164102,      0.1570791
       4.166045,      0.1569277
       4.167998,      0.1568137
       4.169951,      0.1566006
       4.171904,      0.1564369
       4.173857,      0.1562819
        4.17581,       0.156122
