Group Signal ,Sx,Frame 123529,
Format,Mag/Phase,Scaling,EU
Signals,S:1,,S:3,
Chan,1,,3,
Chan Name,I_001,,I_003,
Point,0 X,,0 X,

Hz,g,deg,mm/s,deg
Scaling,Mag,Phase,Mag,Phase
       4.001953,      0.1998257,              0,       343.5045,      -106.0347
       4.003897,      0.1998996,              0,       345.3085,      -105.4385
        4.00585,      0.1998408,              0,       342.7465,      -105.7681
       4.007803,      0.1997741,              0,       346.2601,      -106.3299
       4.009756,      0.2000391,              0,        348.684,      -105.4158
       4.011709,      0.1997344,              0,       343.0243,      -105.6924
       4.013662,      0.1998202,              0,       348.2986,      -106.2634
       4.015615,      0.1999213,              0,       351.1425,      -105.4071
       4.017569,      0.1997975,              0,       345.1039,      -105.6622
       4.019522,      0.1997874,              0,       350.3289,      -106.3159
       4.021475,      0.1999847,              0,       356.4185,      -105.4928
       4.023428,      0.1997624,              0,       350.7309,      -106.0755
       4.025381,      0.1998519,              0,       353.9025,      -105.7329
       4.027334,      0.1998632,              0,       352.9412,      -105.6444
       4.029287,      0.1997171,              0,       352.5497,      -106.8618
        4.03124,      0.2000367,              0,       361.0226,      -105.7972
       4.033194,      0.1997538,              0,       350.2956,      -105.4639
       4.035147,      0.1998337,              0,       357.1905,      -106.5685
         4.0371,      0.1999798,              0,       359.5249,      -105.1539
       4.039053,      0.1997693,              0,       354.2462,      -106.0078
       4.041006,      0.1998673,              0,       360.1604,      -106.0558
       4.042959,      0.1998935,              0,       360.0314,      -105.2617
       4.044912,      0.1998644,              0,       359.8661,      -105.4754
       4.046865,       0.199861,              0,       361.8121,      -106.6647
       4.048819,      0.1999131,              0,       361.7343,      -105.0881
       4.050772,      0.1997684,              0,       360.6483,      -106.1855
       4.052725,      0.1999367,              0,       366.7431,      -105.7669
       4.054678,      0.1999208,              0,       363.7793,      -105.2014
       4.056641,      0.1997115,              0,       362.1981,      -106.5001
       4.058594,      0.2000142,              0,       371.7138,      -105.4703
       4.060547,      0.1997481,              0,       361.6767,      -105.3139
         4.0625,      0.1999509,              0,       372.3853,      -106.6748
       4.064453,      0.1998756,              0,        366.318,      -104.8884
       4.066406,      0.1997816,              0,       368.0557,         -106.4
       4.068359,       0.199918,              0,       372.9736,      -105.3674
       4.070313,      0.1998761,              0,       369.5799,      -106.0356
       4.072266,      0.1998591,              0,       370.3605,      -105.5595
       4.074219,      0.1997785,              0,       372.6943,      -106.1024
       4.076172,       0.199963,              0,       375.8759,      -105.4803
       4.078125,      0.1997686,              0,       370.8236,      -106.3762
       4.080078,      0.1999097,              0,       377.5776,      -105.6642
       4.082031,      0.1998025,              0,       375.3918,      -106.1367
       4.083984,      0.1999276,              0,       380.0406,      -106.2275
       4.085938,      0.1998224,              0,       376.6069,      -105.2651
       4.087891,      0.1999069,              0,         380.67,      -105.7658
       4.089844,      0.1998735,              0,       379.0168,      -105.5481
       4.091797,      0.1998541,              0,       380.6515,      -105.8608
        4.09375,      0.1997917,              0,        380.946,      -105.5629
       4.095703,       0.199893,              0,       383.1243,      -105.8924
       4.097656,      0.1998656,              0,       383.0663,      -105.9722
       4.099609,      0.1998753,              0,       382.7296,      -105.0307
       4.101563,      0.1997882,              0,       384.9329,      -106.5831
       4.103516,      0.2000155,              0,       388.0586,       -104.839
       4.105469,       0.199678,              0,       383.0588,      -106.6326
       4.107422,      0.2001043,              0,       394.8529,      -105.2816
       4.109375,      0.1997013,              0,       382.6828,      -105.9121
       4.111338,      0.1999971,              0,       396.0597,      -106.0718
       4.113291,      0.1998066,              0,       387.8545,      -105.0971
       4.115244,      0.1998291,              0,       392.1892,       -106.711
       4.117198,       0.199904,              0,       392.3042,      -105.0471
       4.119151,      0.1996642,              0,       391.6866,      -106.8925
       4.121104,      0.2001346,              0,       401.5766,      -104.9382
       4.123057,      0.1996097,              0,       386.6327,      -106.1175
        4.12501,      0.2001157,              0,       405.3434,       -105.557
       4.126963,       0.199605,              0,       389.1713,      -106.1553
       4.128916,      0.2000932,              0,       405.4686,      -105.8958
       4.130869,      0.1996051,              0,       390.4283,      -105.6599
       4.132823,      0.2001165,              0,       409.6811,      -106.5495
       4.134776,      0.1996303,              0,       391.6175,      -105.2693
       4.136729,       0.200066,              0,       409.1906,         -106.6
       4.138682,      0.1997164,              0,       398.5073,      -104.7693
       4.140635,      0.1999051,              0,       408.7908,       -106.896
       4.142588,      0.1998363,              0,       403.5211,      -105.4421
       4.144541,      0.1997626,              0,       404.2765,      -106.2667
       4.146494,      0.1999742,              0,       411.1769,      -105.7104
       4.148448,      0.1997987,              0,       405.5308,      -106.1692
       4.150401,      0.1999256,              0,       411.2577,      -105.9535
       4.152354,      0.1997854,              0,       407.0749,      -105.8049
       4.154307,      0.1998889,              0,       412.6847,      -105.8192
        4.15626,      0.1998903,              0,         412.33,      -106.1394
       4.158213,      0.1998208,              0,       412.4733,      -105.7472
       4.160166,      0.1999322,              0,       415.1971,      -105.3728
       4.162119,      0.1998073,              0,       414.8499,      -106.6422
