Group Signal ,Hxy,Frame 123421,
Format,Mag/Phase,Scaling,Ratio
Signals,H:1,,H:3,
Chan,1,,3,
Chan Name,I_001,,I_003,
Point,0 X,,0 X,

Hz,g/V,deg,(mm/s)/V,deg
Scaling,Mag,Phase,Mag,Phase
            4.2,      0.6495581,       130.1711,       2538.006,       10.23514
            4.4,      0.7130829,       126.4662,       3646.552,      -12.44993
            4.6,      0.7500827,       127.8162,       1022.245,      -141.1956
            4.8,      0.7996977,       126.0428,       1797.032,      -164.2737
              5,      0.8531765,       122.3341,       1341.659,      -160.0311
            5.2,      0.9236115,       119.8586,       804.6078,      -162.6542
            5.4,      0.9869101,       117.2136,       691.9065,      -165.3131
            5.6,       1.093992,       112.9906,       504.6562,      -161.9982
            5.8,       1.144515,       110.5564,       458.8857,      -168.8059
              6,       1.209177,       107.7553,       426.1397,      -170.6174
            6.2,       1.293256,       105.4795,       372.1191,      -174.7849
            6.4,       1.414005,       102.0948,       353.1485,      -176.6853
            6.6,       1.508813,       99.47613,       311.4654,      -178.2203
            6.8,       1.578545,       97.25286,       289.3777,       178.3688
              7,        1.68238,         92.966,        274.601,       173.7974
            7.2,       1.790375,       90.07265,       263.4435,       170.7021
            7.4,        1.90431,       86.98663,       258.2024,       168.2948
            7.6,       2.030314,       79.35805,       245.1338,       157.0183
            7.8,       1.979306,       76.02415,       206.8779,       152.7499
              8,       1.874125,       74.25739,       163.8568,       145.9691
            8.2,       1.885335,       74.80357,       140.2926,       150.3534
       8.400001,       2.012645,        74.4821,       140.4286,       157.1606
            8.6,        2.14601,       74.06318,       130.3238,       157.9274
            8.8,       2.261927,         72.859,       117.4697,        159.857
              9,       2.454015,       70.13413,       117.5526,       154.7213
            9.2,       2.569777,       67.78498,       117.5687,       150.4114
       9.400001,        2.66507,       65.76875,        120.104,       151.6373
            9.6,       2.826867,       63.23876,       119.4207,        149.616
            9.8,       2.972147,       59.85974,       112.6487,       146.0758
             10,       3.123182,       56.46522,       104.9093,       140.7266
           10.2,       3.260192,       54.33632,       102.2044,       140.5941
           10.4,       3.431095,       50.51712,       101.2945,       138.6394
           10.6,       3.589656,       46.75998,       99.45113,       134.5589
           10.8,       3.773031,       43.22435,       100.6581,       130.1336
             11,        3.92501,       38.60385,       93.20668,       128.8188
           11.2,       4.119753,       33.22839,       90.42677,        124.688
           11.4,       4.272769,       27.63313,       86.16022,       120.0366
           11.6,       4.215522,       21.47089,       84.37074,       116.6096
           11.8,        3.95561,       14.09932,       78.00558,       114.4526
             12,       3.626397,       9.222069,       67.92113,       115.0789
           12.2,       3.260833,       6.533796,       66.81316,       115.1121
           12.4,       3.017089,       8.253238,        64.9818,       115.9877
           12.6,        2.87487,       10.91445,       62.98573,        118.366
           12.8,       2.889467,       14.01073,       61.57793,       115.9349
             13,       3.003386,       17.30943,       60.26848,       111.8844
           13.2,       3.108412,       17.78318,       62.53313,        112.674
           13.4,       3.234207,       19.13795,       70.70768,        110.259
           13.6,       3.429837,       18.34259,       64.18186,       107.7101
           13.8,       3.566038,       16.94303,       61.99717,       104.3182
             14,       3.739175,       16.18937,       63.71412,       102.9327
           14.2,       3.924027,       15.82804,       60.01314,       102.6424
           14.4,       4.158588,        13.4841,       62.16903,        95.0252
           14.6,       4.326306,       11.82216,       58.48995,       89.97021
           14.8,       4.446079,        10.2479,       54.05331,        89.6241
             15,       4.608659,       7.457467,       55.23236,         89.947
           15.2,       4.772765,       5.297725,       53.76701,       88.62669
           15.4,       4.946207,       3.080326,       52.53637,       88.27912
           15.6,       5.144834,      0.9506382,       50.51578,       85.94126
           15.8,       5.270012,      -0.977086,       48.95353,       84.25704
             16,       5.438303,      -2.999133,       47.75119,       82.63101
           16.2,       5.585201,      -6.201335,       48.18143,       78.68801
           16.4,       5.681516,      -8.224533,       47.33072,       76.85317
           16.6,       5.866734,      -10.58307,       47.64744,       73.68639
           16.8,       5.909697,      -12.67846,       44.93522,       73.47229
             17,       6.178397,      -15.42233,       46.71203,       72.78078
           17.2,       6.268071,      -17.32288,       47.40733,         71.368
           17.4,       6.400458,      -19.90051,       45.29847,       68.34935
           17.6,       6.548624,      -21.68925,       45.39936,       65.69999
           17.8,       6.616146,      -24.27132,       44.43586,       62.48985
             18,       6.794759,      -26.89032,       42.42994,       58.74805
           18.2,       6.970324,      -28.14298,       42.15171,       56.28742
           18.4,       7.168961,       -31.3897,       41.71725,        49.0532
           18.6,       7.306316,       -33.4569,       42.70174,       54.86732
           18.8,       7.340332,       -36.0577,       40.97931,       53.42335
             19,       7.480489,      -38.24422,       38.77879,       49.86821
           19.2,       7.621602,      -40.57353,       39.50459,       50.47622
           19.4,       7.751631,      -42.14516,       38.71815,        49.6053
           19.6,       7.889916,      -44.82771,       39.30433,       42.49641
           19.8,       7.947701,      -46.15334,       39.46795,       43.35796
             20,       8.063375,      -47.66069,       37.85498,       62.02011
