Sig Name,Drive F,Frame 61983,
Format,Mag,Scaling,EU

Hz,V
              4,     0.08020766
       4.001963,      0.0838182
       4.003916,     0.08399414
       4.005869,     0.08354831
       4.007822,     0.08386216
       4.009775,     0.08350204
       4.011728,     0.08360477
       4.013681,     0.08340867
       4.015635,     0.08336761
       4.017588,     0.08331327
       4.019541,     0.08321619
       4.021494,     0.08314466
       4.023447,     0.08303856
         4.0254,     0.08298513
       4.027353,     0.08284209
       4.029306,     0.08281782
        4.03126,     0.08261192
       4.033213,     0.08266918
       4.035166,     0.08248142
       4.037119,     0.08246426
       4.039072,     0.08243199
       4.041025,     0.08212165
       4.042978,     0.08245324
       4.044931,     0.08189205
       4.046885,     0.08226206
       4.048838,     0.08179117
       4.050791,     0.08202583
       4.052744,     0.08176208
       4.054697,     0.08178319
        4.05666,     0.08168502
       4.058613,     0.08149741
       4.060566,     0.08157653
        4.06252,     0.08135045
       4.064473,      0.0813405
       4.066426,     0.08129182
       4.068379,     0.08101768
       4.070332,     0.08120874
       4.072285,     0.08087718
       4.074238,     0.08100395
       4.076191,     0.08085087
       4.078145,     0.08070719
       4.080098,     0.08078807
       4.082051,     0.08049498
       4.084004,     0.08059364
       4.085957,     0.08037626
        4.08791,     0.08039972
       4.089863,     0.08026109
       4.091816,     0.08014795
        4.09377,     0.08013394
       4.095723,     0.07995198
       4.097676,     0.07990028
       4.099629,     0.07991331
       4.101582,     0.07967176
       4.103535,     0.07966307
       4.105488,      0.0796274
       4.107441,     0.07947919
       4.109404,     0.07948135
       4.111357,     0.07938247
        4.11331,     0.07927489
       4.115263,     0.07925332
       4.117217,     0.07903882
        4.11917,      0.0791502
       4.121123,     0.07893167
       4.123076,     0.07888094
       4.125029,     0.07887083
       4.126982,     0.07866693
       4.128935,     0.07861389
       4.130888,     0.07851784
       4.132842,     0.07845591
       4.134795,     0.07837106
       4.136748,     0.07832474
       4.138701,      0.0782095
       4.140654,     0.07809903
       4.142607,     0.07809365
        4.14456,     0.07798193
       4.146513,     0.07785228
       4.148467,      0.0777467
        4.15042,     0.07781976
       4.152373,     0.07766174
       4.154326,     0.07752529
       4.156279,     0.07756402
       4.158232,     0.07742135
       4.160185,     0.07727043
       4.162138,     0.07738508
       4.164092,     0.07714871
       4.166055,      0.0769312
       4.168008,      0.0771169
       4.169961,     0.07692393
       4.171914,     0.07673866
       4.173867,     0.07686652
        4.17582,     0.07667151
       4.177773,     0.07650033
       4.179727,     0.07656744
        4.18168,     0.07646755
       4.183633,     0.07625154
       4.185586,     0.07630927
       4.187539,     0.07631797
       4.189492,     0.07603219
       4.191445,     0.07597507
       4.193398,     0.07605721
       4.195352,     0.07591309
       4.197305,     0.07573551
       4.199258,     0.07582437
       4.201211,     0.07570479
       4.203164,     0.07548775
       4.205117,     0.07544909
        4.20707,     0.07548269
       4.209023,     0.07530548
       4.210977,       0.075211
        4.21293,     0.07516409
       4.214883,     0.07515919
       4.216836,     0.07499521
       4.218789,     0.07495302
       4.220742,     0.07484279
       4.222685,     0.07469684
       4.224638,     0.07474995
       4.226592,     0.07467002
       4.228545,     0.07439152
       4.230498,     0.07441344
       4.232451,      0.0745569
       4.234404,     0.07421409
       4.236357,     0.07408872
        4.23831,     0.07421066
       4.240283,     0.07412171
       4.242236,     0.07387027
       4.244189,     0.07380323
       4.246142,     0.07382121
       4.248096,     0.07367498
       4.250049,     0.07357824
       4.252002,     0.07358952
       4.253955,     0.07346189
       4.255908,     0.07329515
       4.257861,     0.07326577
       4.259814,     0.07322133
       4.261767,     0.07308509
       4.263721,     0.07298848
       4.265674,     0.07299741
       4.267627,     0.07288546
        4.26958,     0.07279446
       4.271533,     0.07270975
       4.273486,     0.07264899
       4.275439,     0.07257995
       4.277392,     0.07254956
       4.279346,     0.07233727
       4.281289,     0.07228894
       4.283242,     0.07227588
       4.285195,     0.07214026
       4.287148,     0.07205203
       4.289102,     0.07204796
       4.291055,     0.07188452
       4.293008,      0.0717152
       4.294961,     0.07186127
       4.296914,     0.07181457
       4.298867,     0.07145934
        4.30082,     0.07142712
       4.302773,     0.07157513
       4.304727,     0.07137715
        4.30668,     0.07111271
       4.308633,     0.07115055
       4.310586,     0.07122819
       4.312539,      0.0711208
       4.314492,     0.07086822
       4.316445,     0.07083035
       4.318398,     0.07075749
       4.320352,     0.07068276
       4.322324,     0.07061156
       4.324277,     0.07046033
       4.326231,     0.07037534
       4.328184,     0.07041124
       4.330137,     0.07027989
        4.33209,     0.07024874
       4.334043,     0.07019581
       4.335996,     0.07006258
       4.337949,     0.06983627
       4.339902,     0.06987422
       4.341846,     0.06976463
       4.343799,     0.06964546
       4.345752,     0.06964055
       4.347705,     0.06961463
       4.349658,     0.06936973
       4.351611,     0.06926233
       4.353564,     0.06921943
       4.355517,     0.06917184
       4.357471,     0.06913581
       4.359424,     0.06898478
       4.361377,     0.06898811
        4.36333,     0.06890788
       4.365283,     0.06871983
       4.367236,     0.06864485
       4.369189,     0.06860831
       4.371142,     0.06874286
       4.373096,     0.06847365
       4.375049,     0.06817041
       4.377002,     0.06824951
       4.378955,     0.06839997
       4.380908,     0.06807155
       4.382861,     0.06782695
       4.384814,     0.06794623
       4.386767,     0.06811784
       4.388721,     0.06792627
       4.390674,     0.06745644
       4.392627,     0.06735627
        4.39458,     0.06749374
       4.396533,     0.06752406
       4.398486,     0.06743959
       4.400459,      0.0672057
       4.402412,     0.06709953
       4.404356,     0.06714422
       4.406309,     0.06716146
       4.408262,     0.06700099
       4.410215,     0.06681207
       4.412168,     0.06673423
       4.414121,     0.06664483
       4.416074,     0.06650602
       4.418027,     0.06635001
       4.419981,     0.06627303
       4.421934,     0.06630666
       4.423887,     0.06632578
        4.42584,     0.06617206
       4.427793,     0.06605801
       4.429746,     0.06595657
       4.431699,      0.0658984
       4.433652,     0.06584477
       4.435606,     0.06580749
       4.437559,     0.06557238
       4.439512,     0.06545091
       4.441465,     0.06548729
       4.443418,     0.06540868
       4.445371,     0.06533059
       4.447324,     0.06539383
       4.449277,     0.06534801
       4.451231,     0.06503835
       4.453184,     0.06488523
       4.455137,     0.06505694
        4.45709,     0.06502184
       4.459043,     0.06475636
       4.460996,     0.06456617
       4.462949,     0.06450017
       4.464902,     0.06439865
       4.466856,     0.06443418
       4.468818,     0.06438003
       4.470771,     0.06427307
       4.472724,     0.06409239
       4.474678,     0.06392957
       4.476631,     0.06390581
       4.478584,     0.06384616
       4.480537,     0.06384376
        4.48249,     0.06381314
       4.484443,     0.06371197
       4.486396,      0.0634816
