Group Signal ,Sx,Frame 103158,
Format,Mag/Phase,Scaling,EU
Signals,S:1,,S:3,
Chan,1,,3,
Chan Name,I_001,,I_003,
Point,0 X,,0 X,

Hz,g,deg,mm/s,deg
Scaling,Mag,Phase,Mag,Phase
       6.001699,      0.0501521,              0,       70.87751,      -99.98087
       6.003535,      0.0499552,              0,       72.12901,       -101.045
       6.005371,     0.04975429,              0,       68.92522,      -101.4177
       6.007168,     0.04986851,              0,        71.2681,      -99.66974
       6.009004,     0.05001478,              0,       72.90337,      -100.0609
        6.01084,     0.04991856,              0,       72.33604,      -101.5547
       6.012676,     0.04992718,              0,       72.29217,      -101.2523
       6.014512,     0.04993183,              0,       71.58337,      -101.0864
       6.016348,     0.05005061,              0,       72.98949,      -101.2804
       6.018184,     0.05001717,              0,       72.96768,      -101.2292
        6.02002,      0.0498901,              0,       72.59383,      -100.5082
       6.021816,      0.0498463,              0,       72.71926,      -100.3704
       6.023653,     0.05013038,              0,       73.10873,      -100.4345
       6.025488,     0.05005129,              0,        74.7264,      -101.5843
       6.027324,      0.0498131,              0,       72.68445,      -101.6798
        6.02916,     0.04984384,              0,        72.7924,      -100.2037
       6.030996,     0.04990713,              0,       74.43484,      -100.1068
       6.032832,     0.04988252,              0,       74.85685,      -101.2663
       6.034668,     0.04989997,              0,       73.89514,      -100.5089
       6.036465,       0.050028,              0,       74.68067,      -100.8629
       6.038301,     0.05001375,              0,       74.52052,      -101.3325
       6.040137,     0.04985047,              0,       73.46298,      -101.3064
       6.041973,     0.04979468,              0,       73.87386,       -100.355
       6.043808,     0.04984655,              0,       75.42405,      -99.75457
       6.045645,     0.04999406,              0,        76.7137,      -100.7245
       6.047461,     0.04986058,              0,       75.87198,       -101.622
       6.049297,     0.04981249,              0,       74.92837,      -100.8184
       6.051133,      0.0498577,              0,       76.20888,      -100.5606
       6.052969,     0.04997279,              0,        77.2872,      -100.5493
       6.054805,     0.04987882,              0,       75.56301,      -101.3571
       6.056641,     0.04986065,              0,        76.1226,      -101.1239
       6.058476,     0.04982695,              0,       75.68668,      -100.3255
       6.060274,     0.04990609,              0,       76.57493,      -99.82859
       6.062109,     0.05000916,              0,       78.99933,      -100.2692
       6.063945,     0.05015787,              0,       77.92242,      -101.4884
       6.065781,     0.04985774,              0,       77.20473,      -102.1394
       6.067617,     0.04962661,              0,       75.25912,      -100.6384
       6.069453,     0.04995972,              0,       78.15199,      -99.13119
       6.071289,     0.05014635,              0,       80.81803,      -101.2061
       6.073125,     0.04989797,              0,        78.2394,      -101.9173
       6.074922,     0.04959171,              0,       76.78235,      -101.5066
       6.076758,     0.05002918,              0,       79.81821,      -99.45092
       6.078594,     0.05013218,              0,       81.85258,      -100.8137
        6.08043,     0.04973839,              0,       79.33156,      -102.8948
       6.082266,     0.04977478,              0,       78.18124,      -100.0944
       6.084102,     0.05004124,              0,       80.64401,      -99.73649
       6.085938,     0.05004332,              0,       80.51496,      -101.7907
       6.087773,     0.04977297,              0,       78.34057,       -101.185
        6.08961,     0.05000196,              0,        80.5526,      -99.74413
       6.091406,      0.0500393,              0,        82.8355,      -101.2433
       6.093242,     0.04981251,              0,       80.69379,       -101.929
       6.095078,     0.04966658,              0,       79.72667,      -99.85094
       6.096914,     0.05012973,              0,       82.90094,      -99.69492
        6.09875,      0.0500798,              0,       84.17836,       -102.135
       6.100586,     0.04981364,              0,       80.08775,      -102.0755
       6.102422,     0.04964644,              0,       79.09053,      -101.5483
       6.104258,      0.0500194,              0,       82.09646,      -100.3809
       6.106055,     0.05005117,              0,       83.85493,      -101.2529
       6.107891,     0.04992641,              0,       82.03899,      -102.0728
       6.109726,     0.04979822,              0,       83.29997,      -101.9355
       6.111563,     0.04980258,              0,       82.25515,       -101.278
       6.113399,      0.0500414,              0,       82.88105,      -100.6302
       6.115234,     0.04996144,              0,       82.94239,      -100.8067
        6.11707,     0.04976472,              0,       82.45497,      -101.0269
       6.118906,     0.04983113,              0,       83.01145,      -100.2772
       6.120742,     0.05019028,              0,       86.32339,      -100.2574
       6.122539,     0.04981869,              0,       85.37254,       -102.433
       6.124375,     0.04974335,              0,       82.71269,      -101.0241
       6.126211,     0.05016506,              0,       86.99663,      -99.57887
       6.128047,     0.05010511,              0,        87.9878,      -102.1013
       6.129883,     0.04992352,              0,       85.20134,      -102.7897
       6.131719,     0.04955418,              0,       82.63657,      -102.2578
       6.133555,     0.04958263,              0,       83.20407,      -100.0956
       6.135391,      0.0503534,              0,       90.09171,      -99.22747
       6.137187,     0.05022145,              0,       89.89094,      -102.8585
       6.139043,     0.04971105,              0,       83.94778,      -103.0068
       6.140879,      0.0495669,              0,       83.95554,      -100.0942
       6.142715,     0.04985009,              0,       86.92126,      -99.06818
       6.144512,     0.05037786,              0,       91.66051,      -100.0934
       6.146348,     0.05007145,              0,        90.8595,      -103.7067
       6.148184,     0.04943006,              0,       84.24589,      -103.5107
        6.15002,     0.04953999,              0,       83.96497,      -98.59714
