Sig Name,Drive F,Frame 61983,
Format,Mag,Scaling,EU

Hz,V
              4,       0.080944
       4.001963,     0.08498473
       4.003916,     0.08511022
       4.005869,     0.08476337
       4.007822,      0.0849143
       4.009775,     0.08461546
       4.011728,      0.0847403
       4.013681,     0.08451908
       4.015635,     0.08458959
       4.017588,     0.08426727
       4.019541,     0.08430282
       4.021494,      0.0841461
       4.023447,      0.0841011
         4.0254,     0.08401601
       4.027353,     0.08399066
       4.029306,     0.08384866
        4.03126,     0.08375098
       4.033213,     0.08372119
       4.035166,      0.0835807
       4.037119,     0.08350436
       4.039072,     0.08337139
       4.041025,     0.08334933
       4.042978,     0.08319521
       4.044931,     0.08320738
       4.046885,     0.08307841
       4.048838,     0.08293754
       4.050791,     0.08295628
       4.052744,     0.08283077
       4.054697,     0.08275562
        4.05666,     0.08268633
       4.058613,     0.08256842
       4.060566,     0.08250178
        4.06252,     0.08239161
       4.064473,     0.08234273
       4.066426,     0.08221112
       4.068379,      0.0821771
       4.070332,     0.08212768
       4.072285,     0.08194699
       4.074238,     0.08194428
       4.076191,     0.08182614
       4.078145,     0.08176339
       4.080098,     0.08169769
       4.082051,     0.08156057
       4.084004,     0.08157354
       4.085957,     0.08138733
        4.08791,      0.0814264
       4.089863,     0.08126166
       4.091816,      0.0812027
        4.09377,     0.08116324
       4.095723,     0.08094835
       4.097676,     0.08102112
       4.099629,     0.08080161
       4.101582,     0.08080022
       4.103535,     0.08064295
       4.105488,     0.08064205
       4.107441,     0.08053199
       4.109404,     0.08042549
       4.111357,     0.08043368
        4.11331,     0.08020842
       4.115263,     0.08030411
       4.117217,     0.08002602
        4.11917,      0.0801022
       4.121123,     0.07994147
       4.123076,     0.07983226
       4.125029,      0.0798569
       4.126982,     0.07964105
       4.128935,     0.07967891
       4.130888,     0.07953121
       4.132842,     0.07946473
       4.134795,     0.07939565
       4.136748,     0.07927907
       4.138701,     0.07927027
       4.140654,     0.07911116
       4.142607,      0.0790572
        4.14456,     0.07897139
       4.146513,     0.07883053
       4.148467,     0.07884466
        4.15042,      0.0786825
       4.152373,     0.07864763
       4.154326,     0.07859674
       4.156279,     0.07842384
       4.158232,     0.07841417
       4.160185,     0.07836434
       4.162138,     0.07816049
       4.164092,       0.078275
       4.166055,     0.07803492
       4.168008,     0.07790085
       4.169961,     0.07797511
       4.171914,     0.07779634
       4.173867,     0.07783449
        4.17582,     0.07767019
       4.177773,     0.07759072
       4.179727,     0.07756521
        4.18168,     0.07740406
       4.183633,     0.07736094
       4.185586,     0.07731965
       4.187539,     0.07716327
       4.189492,     0.07719806
       4.191445,      0.0770612
       4.193398,     0.07694224
       4.195352,     0.07686634
       4.197305,     0.07682241
       4.199258,      0.0767176
       4.201211,     0.07665557
       4.203164,     0.07657371
       4.205117,     0.07648759
        4.20707,     0.07643319
       4.209023,     0.07632537
       4.210977,     0.07624943
        4.21293,     0.07615157
       4.214883,     0.07599615
       4.216836,     0.07606339
       4.218789,     0.07588357
       4.220742,     0.07583418
       4.222685,     0.07587317
       4.224638,     0.07567745
       4.226592,     0.07558066
       4.228545,     0.07561125
       4.230498,     0.07535739
       4.232451,     0.07543615
       4.234404,     0.07537485
       4.236357,     0.07516417
        4.23831,     0.07528605
       4.240283,     0.07509045
       4.242236,     0.07502215
       4.244189,      0.0750323
       4.246142,     0.07483064
       4.248096,     0.07484404
       4.250049,       0.074775
       4.252002,       0.074639
       4.253955,     0.07458582
       4.255908,     0.07455567
       4.257861,     0.07438096
       4.259814,     0.07433881
       4.261767,     0.07424422
       4.263721,     0.07421128
       4.265674,     0.07414847
       4.267627,     0.07397833
        4.26958,     0.07400211
       4.271533,     0.07391512
       4.273486,     0.07378491
       4.275439,     0.07376286
       4.277392,     0.07366116
       4.279346,      0.0735723
       4.281289,     0.07355729
       4.283242,     0.07338274
       4.285195,     0.07335989
       4.287148,     0.07334947
       4.289102,     0.07310366
       4.291055,     0.07315192
       4.293008,     0.07309199
       4.294961,     0.07290636
       4.296914,     0.07291175
       4.298867,     0.07288238
        4.30082,     0.07266869
       4.302773,     0.07269412
       4.304727,     0.07266542
        4.30668,     0.07248999
       4.308633,     0.07246144
       4.310586,     0.07237834
       4.312539,      0.0723029
       4.314492,     0.07224446
       4.316445,     0.07205314
       4.318398,     0.07208564
       4.320352,     0.07201897
       4.322324,     0.07192954
       4.324277,     0.07185326
       4.326231,     0.07186668
       4.328184,     0.07177451
       4.330137,     0.07159673
        4.33209,     0.07162845
       4.334043,     0.07171793
       4.335996,     0.07180632
       4.337949,     0.07249959
       4.339902,      0.0724594
       4.341846,     0.07327338
       4.343799,     0.08824489
       4.345752,      0.1416056
       4.347705,       0.142214
       4.349658,      0.1375412
       4.351611,       0.139373
       4.353564,      0.1414133
       4.355517,      0.1382539
       4.357471,      0.1380639
       4.359424,      0.1402632
       4.361377,      0.1385746
        4.36333,      0.1374068
       4.365283,      0.1393154
       4.367236,      0.1387234
       4.369189,      0.1371853
       4.371142,      0.1379967
       4.373096,       0.137968
       4.375049,      0.1366634
       4.377002,       0.137289
       4.378955,      0.1375937
       4.380908,      0.1366233
       4.382861,      0.1368023
       4.384814,      0.1370771
       4.386767,      0.1365213
       4.388721,      0.1363378
       4.390674,      0.1365294
       4.392627,      0.1361802
        4.39458,      0.1360057
       4.396533,      0.1359415
       4.398486,      0.1357605
       4.400459,      0.1357969
       4.402412,      0.1357559
       4.404356,      0.1354727
       4.406309,      0.1352292
       4.408262,      0.1350944
       4.410215,      0.1349317
       4.412168,      0.1348451
       4.414121,      0.1347355
       4.416074,      0.1344987
       4.418027,       0.133863
       4.419981,      0.1341489
       4.421934,      0.1341551
