Group Signal ,Sx,Frame 61983,
Format,Mag/Phase,Scaling,EU
Signals,S:1,,S:3,
Chan,1,,3,
Chan Name,I_001,,I_003,
Point,0 X,,0 X,

Hz,g,deg,mm/s,deg
Scaling,Mag,Phase,Mag,Phase
       4.209023,      0.1000913,              0,       265.4539,      -105.7525
       4.210977,      0.1000476,              0,       266.0688,      -107.2491
        4.21293,      0.1001731,              0,       273.1694,      -105.8181
       4.214883,     0.09991551,              0,       264.6434,      -105.9165
       4.216836,      0.1002228,              0,       272.7419,      -107.8476
       4.218789,      0.1000814,              0,       274.0273,      -105.1879
       4.220742,     0.09994316,              0,        265.882,      -106.3665
       4.222685,      0.1001934,              0,       276.7576,      -107.4792
       4.224638,       0.100113,              0,       277.7675,      -105.3064
       4.226592,     0.09995964,              0,       271.0215,      -106.1115
       4.228545,      0.1002431,              0,       284.6239,      -106.8326
       4.230498,     0.09996802,              0,       274.4796,      -103.7902
       4.232451,     0.09998136,              0,       273.9375,      -107.5629
       4.234404,      0.1002637,              0,       287.1383,      -105.9069
       4.236357,     0.09989399,              0,       274.4384,      -105.3533
        4.23831,      0.1001169,              0,       282.7744,      -107.9731
       4.240283,      0.1000861,              0,       284.4117,      -105.6525
       4.242236,     0.09992722,              0,       278.8245,      -107.1138
       4.244189,       0.100224,              0,       290.3968,       -107.196
       4.246142,      0.1000037,              0,       284.3271,      -106.0398
       4.248096,      0.1000293,              0,       284.0826,      -107.1502
       4.250049,        0.10013,              0,       291.2139,      -107.1684
       4.252002,      0.1000851,              0,       288.3443,      -105.8424
       4.253955,      0.1000082,              0,       287.2248,       -107.585
       4.255908,      0.1001371,              0,        294.561,      -106.9544
       4.257861,      0.1000315,              0,       293.5629,      -106.2233
       4.259814,      0.1000584,              0,       294.1198,      -106.3611
       4.261767,      0.1000551,              0,       292.9734,      -105.4527
       4.263721,      0.1000157,              0,       292.9224,      -106.8413
       4.265674,      0.1001714,              0,        300.021,      -106.1879
       4.267627,      0.1000075,              0,       294.3096,      -105.5731
        4.26958,      0.1000566,              0,       297.3354,      -107.0796
       4.271533,      0.1001107,              0,         301.93,       -106.645
       4.273486,      0.1000339,              0,       299.0902,      -106.2155
       4.275439,      0.1000834,              0,       301.9975,      -107.5447
       4.277392,      0.1001082,              0,       306.4954,      -106.3504
       4.279346,     0.09997447,              0,       301.4511,      -106.6006
       4.281289,      0.1001539,              0,       307.5223,      -107.0606
       4.283242,      0.1000342,              0,       305.7655,       -105.934
       4.285195,     0.09997448,              0,       304.1304,      -107.5592
       4.287148,      0.1002634,              0,       314.9182,      -107.1032
       4.289102,     0.09996431,              0,       307.5896,      -106.0018
       4.291055,     0.09999685,              0,       309.1815,      -108.1092
       4.293008,      0.1002143,              0,       319.3618,      -106.5386
       4.294961,       0.100001,              0,       313.7013,      -106.1865
       4.296914,       0.100024,              0,       313.7155,      -107.0034
       4.298867,      0.1002012,              0,       319.6665,      -106.8898
        4.30082,      0.1000261,              0,       317.7241,      -105.2707
       4.302773,       0.100001,              0,       314.6546,      -107.6686
       4.304727,      0.1001874,              0,       324.3218,      -107.2938
        4.30668,      0.1000501,              0,        319.881,      -106.2178
       4.308633,      0.1000862,              0,       322.7278,      -107.0886
       4.310586,      0.1001101,              0,       324.3442,      -106.8161
       4.312539,      0.1000332,              0,       324.4091,       -107.781
       4.314492,      0.1002022,              0,       332.4941,      -106.6938
       4.316445,     0.09993766,              0,        325.254,       -105.806
       4.318398,      0.1000714,              0,       326.7443,      -107.1524
       4.320352,      0.1000761,              0,       330.5818,      -107.3728
       4.322324,      0.1000698,              0,       333.4245,       -106.451
       4.324277,      0.0999721,              0,       329.8481,      -106.5534
       4.326231,      0.1000758,              0,       332.3599,       -107.623
       4.328184,      0.1001978,              0,        340.533,      -107.0785
       4.330137,      0.1000187,              0,       333.8212,      -105.4003
        4.33209,     0.09993575,              0,       329.6014,      -108.3662
       4.334043,     0.09987371,              0,       349.0964,      -108.0665
       4.335996,     0.09925223,              0,        339.544,      -104.3072
       4.337949,     0.09996393,              0,       327.9543,      -109.3707
       4.339902,      0.1000022,              0,       354.7805,       -109.065
       4.341846,      0.0992726,              0,       341.6231,      -104.6853
       4.343799,     0.06375177,              0,       289.8065,      -85.53664
       4.345752,     0.09922962,              0,       265.4767,      -126.0512
       4.347705,      0.1024827,              0,       434.9477,      -115.3714
       4.349658,     0.09962109,              0,       360.0516,      -90.09281
       4.351611,     0.09852546,              0,       276.6881,      -113.2724
