Group Signal ,Xx,Frame 61983,
Format,Real,Scaling,EU
Signals,X:1,X:3
Chan,1,3
Chan Name,I_001,I_003
Point,0 X,0 X

sec,g,mm/s

              0,      0.1001383,       20.25048
    0.004882813,      0.1019216,       7.119192
    0.009765625,     0.09516224,      -6.753439
     0.01464844,      0.0902116,      -19.79957
     0.01953125,     0.08474418,      -33.05262
     0.02441406,     0.07473707,      -45.91191
     0.02929688,     0.06193977,      -57.36011
     0.03417969,      0.0485475,      -67.39297
      0.0390625,     0.03696083,      -75.09798
     0.04394531,      0.0240648,      -80.49907
     0.04882813,    0.007907082,      -84.14191
     0.05371094,   -0.008481474,      -86.40591
     0.05859375,    -0.02477691,      -86.26544
     0.06347656,     -0.0404617,      -84.28069
     0.06835938,    -0.05309189,      -79.57937
     0.07324219,    -0.06298116,      -72.67092
       0.078125,    -0.07975047,      -63.41068
     0.08300781,    -0.09007388,      -51.64474
     0.08789063,    -0.09024482,       -39.3544
     0.09277344,    -0.09639881,       -26.1205
     0.09765625,     -0.1027476,      -12.44319
      0.1025391,    -0.09834605,       1.203637
      0.1074219,    -0.09506785,       14.93548
      0.1123047,    -0.08885629,       28.83901
      0.1171875,    -0.08030079,       42.01336
      0.1220703,     -0.0715251,       54.46352
      0.1269531,    -0.06063012,       65.93135
      0.1318359,    -0.04644781,        75.4597
      0.1367188,    -0.03084459,       82.87029
      0.1416016,    -0.01770155,       88.95351
      0.1464844,   -0.002401122,       91.70546
      0.1513672,     0.01494861,        92.1534
        0.15625,     0.03350509,       91.42831
      0.1611328,     0.04775155,       87.50895
      0.1660156,     0.05891252,       82.47878
      0.1708984,     0.07469977,       75.28924
      0.1757813,     0.08527169,       64.99943
      0.1806641,     0.09053929,       53.69238
      0.1855469,     0.09796634,       41.48869
      0.1904297,     0.09919117,       28.38563
      0.1953125,     0.09992441,       15.07669
      0.2001953,     0.09906286,       1.535174
      0.2050781,      0.0958668,      -12.40492
      0.2099609,     0.08402614,       -26.6776
      0.2148438,      0.0744658,      -40.04522
      0.2197266,      0.0691634,      -52.05255
      0.2246094,     0.05817474,      -63.08065
      0.2294922,     0.04072934,      -72.69923
       0.234375,     0.02766532,      -79.89119
      0.2392578,     0.01495684,      -84.61217
      0.2441406,   -0.000699499,      -87.34731
      0.2490234,    -0.01812095,      -88.49049
      0.2539063,    -0.03321977,      -88.17517
      0.2587891,    -0.04919775,      -85.10252
      0.2636719,    -0.06091154,      -79.53874
      0.2685547,    -0.07273506,      -71.28303
      0.2734375,    -0.08366376,       -60.7268
      0.2783203,     -0.0946968,      -48.80995
      0.2832031,    -0.09755715,      -35.64992
      0.2880859,    -0.09841368,      -22.30003
      0.2929688,    -0.09843894,      -8.320546
      0.2978516,     -0.0982572,       5.700325
      0.3027344,    -0.09108006,       19.50136
      0.3076172,     -0.0857719,       33.29985
         0.3125,    -0.07333917,       46.57231
      0.3173828,    -0.06236738,       58.64389
      0.3222656,    -0.05352604,       69.75259
      0.3271484,    -0.03933805,       78.98701
      0.3320313,    -0.02126719,       85.39758
      0.3369141,    -0.00546612,        90.5531
      0.3417969,    0.009112376,       92.70785
      0.3466797,     0.02431861,        92.6161
      0.3515625,     0.04088875,        90.5928
      0.3564453,     0.05855931,       86.44241
      0.3613281,     0.06809199,       80.46929
      0.3662109,     0.07844163,       71.98497
      0.3710938,     0.08851828,       61.62494
      0.3759766,     0.09653728,       49.93439
