Group Signal ,Sx,Frame 123421,
Format,Mag/Phase,Scaling,EU
Signals,S:1,,S:3,
Chan,1,,3,
Chan Name,I_001,,I_003,
Point,0 X,,0 X,

Hz,g,deg,mm/s,deg
Scaling,Mag,Phase,Mag,Phase
       4.001944,      0.1000135,              0,       188.6698,      -105.8017
       4.003906,     0.09989326,              0,       188.0152,      -107.2997
       4.005859,     0.09990864,              0,        190.724,       -104.943
       4.007813,     0.09995548,              0,       189.0281,      -107.3863
       4.009766,      0.1000204,              0,       190.4216,      -104.7806
       4.011719,     0.09988427,              0,       190.7514,      -107.2357
       4.013672,      0.1000257,              0,       193.9322,      -105.1312
       4.015625,      0.0997665,              0,       187.7693,      -107.7178
       4.017578,        0.10006,              0,       196.7546,      -103.9251
       4.019531,     0.09982863,              0,       191.1723,      -107.8539
       4.021484,     0.09997368,              0,       194.7885,       -104.225
       4.023438,     0.09989174,              0,       193.1482,      -108.0322
       4.025391,     0.09990089,              0,       193.3933,      -104.6586
       4.027344,     0.09993399,              0,       197.3279,      -106.7758
       4.029297,     0.09992378,              0,       194.3254,      -105.8867
        4.03125,     0.09992436,              0,       196.0932,      -106.1182
       4.033203,     0.09989403,              0,       196.8816,      -105.5279
       4.035156,       0.100018,              0,       197.3365,      -106.4402
       4.037109,     0.09989969,              0,       196.7835,      -105.8901
       4.039063,     0.09994934,              0,       200.1598,      -105.7727
       4.041016,     0.09993522,              0,       199.4069,      -105.9382
       4.042969,     0.09993749,              0,       201.0048,      -105.9836
       4.044922,     0.09985863,              0,       199.4068,      -106.6903
       4.046875,      0.1000332,              0,       203.0305,      -105.2636
       4.048828,     0.09992821,              0,       204.1196,      -107.5892
       4.050781,     0.09979264,              0,       201.6328,      -104.4527
       4.052734,      0.1000456,              0,        206.504,      -107.7275
       4.054688,     0.09984279,              0,       200.1307,      -106.2834
       4.056631,     0.09996974,              0,       204.6241,      -106.3656
       4.058584,     0.09991879,              0,       205.2037,      -105.8727
       4.060537,     0.09997083,              0,       206.5275,      -106.1993
        4.06249,     0.09985615,              0,       203.7532,      -106.1641
       4.064444,     0.09994836,              0,       208.5076,       -105.796
       4.066397,     0.09990519,              0,       206.5302,      -105.9967
        4.06835,     0.09994289,              0,       209.8053,      -105.4468
       4.070303,      0.0999204,              0,       209.4666,      -106.3211
       4.072256,     0.09985299,              0,       209.8401,      -105.4155
       4.074209,      0.1000316,              0,       212.9547,      -106.4238
       4.076162,      0.0998861,              0,       209.4482,      -106.1388
       4.078115,     0.09998052,              0,       212.8507,        -106.11
       4.080088,     0.09991699,              0,       211.5555,      -105.8792
       4.082041,      0.1000015,              0,       213.8219,       -106.582
       4.083994,      0.0998767,              0,       212.1828,      -106.9374
       4.085948,     0.09991234,              0,       214.2768,      -106.9264
       4.087901,     0.09998152,              0,       213.6507,      -105.2267
       4.089854,     0.09999686,              0,       218.6353,      -107.4142
       4.091807,      0.0998216,              0,       212.4268,      -106.0566
        4.09376,     0.09993579,              0,       219.1636,      -104.8377
       4.095713,     0.09998059,              0,       219.4107,      -107.4913
       4.097666,     0.09983833,              0,       216.0029,       -105.697
       4.099619,     0.09999841,              0,       223.8898,      -106.5942
       4.101573,     0.09980502,              0,       218.3346,      -106.7358
       4.103526,      0.0999117,              0,       220.8999,      -105.9935
       4.105479,      0.0999603,              0,       223.7596,      -106.7146
       4.107432,     0.09994163,              0,        221.385,      -106.6151
       4.109385,     0.09998623,              0,       225.5247,      -105.7878
       4.111328,      0.0998905,              0,       225.1776,      -106.7559
       4.113281,     0.09993279,              0,       224.5203,      -106.4562
       4.115234,     0.09997378,              0,       225.8583,      -106.6802
       4.117188,     0.09983246,              0,       223.3287,      -105.7773
       4.119141,     0.09997991,              0,       230.2192,      -106.4016
       4.121094,     0.09989558,              0,       227.4241,      -106.9599
       4.123047,     0.09987937,              0,       227.2276,      -104.8976
          4.125,     0.09996862,              0,       231.7416,      -107.6306
       4.126953,     0.09979822,              0,       227.8856,      -104.9529
       4.128906,      0.1000933,              0,       235.4652,      -107.3464
       4.130859,     0.09973679,              0,       224.0367,      -106.1137
       4.132813,      0.1000441,              0,       236.5699,      -103.9481
       4.134766,     0.09988812,              0,       234.7159,      -107.9497
       4.136719,     0.09988414,              0,       233.1162,      -104.9219
       4.138672,      0.1000192,              0,       238.7577,      -106.5584
       4.140625,     0.09985544,              0,       233.3951,      -106.3448
       4.142578,     0.09997085,              0,       239.8837,      -106.9676
       4.144531,     0.09990283,              0,       234.3578,      -106.7998
       4.146484,     0.09992781,              0,       239.8686,       -106.798
       4.148438,     0.09987055,              0,       236.6188,      -106.7205
       4.150391,      0.1000501,              0,       244.8632,      -106.3972
       4.152344,     0.09985223,              0,       237.3537,      -108.1466
       4.154297,     0.09986988,              0,       240.2338,      -104.2265
        4.15625,      0.1001618,              0,       250.7242,      -107.2896
       4.158223,     0.09980584,              0,       236.0682,      -107.2902
       4.160176,      0.1000408,              0,       249.8825,      -104.8372
