Group Signal ,Sx,Frame 102951,
Format,Mag/Phase,Scaling,EU
Signals,S:1,,S:3,
Chan,1,,3,
Chan Name,I_001,,I_003,
Point,0 X,,0 X,

Hz,g,deg,mm/s,deg
Scaling,Mag,Phase,Mag,Phase
        6.19582,     0.09992468,              0,       181.2652,      -101.3774
       6.197656,      0.0997708,              0,       180.2669,      -101.6232
       6.199453,     0.09976552,              0,       181.0767,      -101.4037
       6.201289,     0.09986474,              0,       182.2254,       -101.285
       6.203125,      0.0999081,              0,       183.7257,      -101.4691
       6.204961,     0.09965718,              0,       182.5104,      -101.6311
       6.206797,     0.09998433,              0,       184.3426,      -101.1546
       6.208633,     0.09993072,              0,       186.0604,       -101.937
       6.210469,     0.09972846,              0,       184.5646,      -102.0653
       6.212305,     0.09976251,              0,        184.372,      -101.3474
       6.214102,      0.0998483,              0,       186.3835,      -101.5558
       6.215938,     0.09996614,              0,       187.7505,      -101.6955
       6.217773,     0.09977505,              0,       187.4927,      -102.0274
       6.219609,     0.09972761,              0,       186.8179,      -101.7302
       6.221446,     0.09978848,              0,       189.3985,      -101.4856
       6.223281,     0.09978988,              0,       189.1404,      -101.7976
       6.225117,     0.09990405,              0,       189.5667,      -101.4326
       6.226953,     0.09989492,              0,       190.7953,      -101.8195
        6.22875,        0.09972,              0,       189.4047,      -101.9471
       6.230586,     0.09978337,              0,       189.1156,      -101.3734
       6.232441,     0.09987086,              0,       192.2286,      -101.1804
       6.234277,     0.09973683,              0,       193.5557,      -101.4711
       6.236074,     0.09969246,              0,       193.2305,       -101.788
        6.23791,     0.09996063,              0,       193.0357,      -101.8991
       6.239746,      0.1002124,              0,       194.4933,      -101.6658
       6.241582,      0.1016555,              0,       195.8716,      -101.3745
       6.243418,      0.1002706,              0,       198.4596,      -102.6309
       6.245254,     0.09975419,              0,       193.8044,      -102.9323
        6.24709,     0.09956976,              0,       193.3927,      -101.8639
       6.248926,     0.09996592,              0,       195.8305,      -101.1045
       6.250762,       0.100186,              0,       200.3214,      -101.3453
       6.252559,      0.0999634,              0,       200.1224,      -102.0826
       6.254395,     0.09933307,              0,       197.7626,      -101.8637
        6.25623,     0.09928586,              0,       198.2516,      -101.4145
       6.258067,     0.09997677,              0,       201.7059,      -100.5557
       6.259902,      0.1002559,              0,       205.5838,      -101.1297
       6.261738,       0.100387,              0,       204.5442,      -102.0262
       6.263574,      0.0999976,              0,       201.6528,      -102.6236
        6.26541,     0.09964129,              0,       199.9646,      -101.6775
       6.267207,     0.09957474,              0,       202.3803,       -101.305
       6.269043,     0.09990237,              0,       206.0526,      -101.2845
       6.270879,     0.09996378,              0,       207.6837,      -101.6254
       6.272715,     0.09994044,              0,       207.3135,      -102.2741
       6.274551,     0.09973677,              0,       204.6494,      -102.4001
       6.276387,     0.09956548,              0,       203.8138,       -101.942
       6.278223,     0.09946361,              0,        206.166,      -101.3246
       6.280059,     0.09986341,              0,       209.2626,       -101.072
       6.281895,      0.1001114,              0,       213.7894,      -101.7551
       6.283691,      0.1001392,              0,       213.7953,      -103.0523
       6.285527,     0.09962562,              0,       210.2299,      -103.0544
       6.287364,     0.09952646,              0,       209.2533,      -102.2611
       6.289199,     0.09955213,              0,       211.1084,      -101.6195
       6.291035,      0.1000344,              0,       216.1152,      -101.7094
       6.292871,      0.1000791,              0,       217.9575,      -102.6348
       6.294707,     0.09974563,              0,       214.2089,      -102.7451
       6.296543,     0.09935059,              0,       212.2899,      -101.9742
        6.29834,     0.09942356,              0,       215.3612,      -101.1073
       6.300176,      0.1004212,              0,       222.5377,      -100.9916
       6.302012,      0.1002918,              0,        224.053,      -102.6426
       6.303848,     0.09976654,              0,       218.4956,      -103.6047
       6.305684,     0.09942085,              0,        215.475,      -102.5908
       6.307519,     0.09942245,              0,       216.7421,      -101.6463
       6.309356,      0.0997546,              0,        222.106,      -101.1828
       6.311192,      0.1003876,              0,       226.4016,       -102.006
       6.312988,     0.09998392,              0,       226.2677,      -102.9097
       6.314824,     0.09972834,              0,       221.5149,      -103.1422
        6.31666,     0.09931034,              0,       219.4746,      -102.0809
       6.318496,     0.09969135,              0,       222.2504,      -101.1204
       6.320332,      0.1001589,              0,       228.6909,      -101.2468
       6.322168,      0.1001043,              0,       229.9451,      -102.6551
       6.324004,     0.09965864,              0,       226.2302,      -103.1548
        6.32584,     0.09950153,              0,       225.2338,      -102.1474
       6.327656,     0.09979288,              0,       227.4731,       -101.468
       6.329492,      0.1000678,              0,       232.0782,      -101.8317
       6.331328,     0.09998009,              0,       233.5037,      -102.4924
       6.333164,     0.09983381,              0,       232.1543,      -102.7731
          6.335,     0.09982052,              0,       230.7295,      -102.7015
       6.336816,     0.09964397,              0,       231.7276,      -102.4726
       6.338633,     0.09975269,              0,       232.9338,      -101.8408
       6.340469,     0.09967981,              0,       235.4703,      -101.8872
       6.342305,     0.09997225,              0,       237.9175,      -102.1308
       6.344141,      0.1000037,              0,       240.8819,      -102.3407
       6.345977,       0.100042,              0,       240.4818,      -103.0504
       6.347813,     0.09961633,              0,       237.7756,      -103.1219
       6.349648,     0.09949306,              0,       236.4289,      -102.5914
       6.351445,     0.09973668,              0,       239.5906,      -101.7373
       6.353281,      0.1000048,              0,       243.5679,      -101.7412
       6.355117,      0.1001589,              0,       244.5156,      -102.4449
       6.356953,     0.09964456,              0,       242.8867,      -102.7676
       6.358789,     0.09952766,              0,       241.2091,      -102.3957
       6.360625,      0.0993749,              0,       242.1993,      -101.4982
       6.362461,     0.09986144,              0,       247.4187,      -101.3491
       6.364297,      0.1002361,              0,       253.6971,      -101.8943
       6.366133,      0.1001604,              0,       252.0626,      -103.3564
        6.36793,     0.09990434,              0,       249.9511,      -103.7792
       6.369766,      0.0996122,              0,       247.0652,       -103.217
       6.371602,      0.0994361,              0,       247.2402,      -102.2697
       6.373437,     0.09978464,              0,       250.0064,      -101.4551
       6.375274,     0.09993836,              0,       253.8401,      -101.8493
        6.37711,     0.09987815,              0,       256.4286,      -102.3182
       6.378945,     0.09993392,              0,       256.5779,      -102.9086
       6.380781,     0.09987469,              0,        256.912,      -103.1117
       6.382578,     0.09976609,              0,       255.9792,      -103.2538
       6.384414,     0.09967301,              0,        256.172,      -102.8642
        6.38625,     0.09972001,              0,       256.8105,      -102.7679
       6.388086,     0.09977603,              0,       259.8193,      -102.5294
       6.389922,     0.09980936,              0,       261.9495,      -102.6589
       6.391758,     0.09986319,              0,       263.6049,      -102.9428
       6.393594,     0.09985922,              0,       264.7305,      -103.1194
        6.39543,     0.09983218,              0,       264.9663,       -103.365
       6.397227,     0.09988004,              0,       265.0757,      -103.2067
       6.399063,     0.09965359,              0,       265.5228,      -103.2898
       6.400898,     0.09967106,              0,       266.2267,       -102.757
       6.402734,     0.09966207,              0,       268.6555,       -102.749
       6.404571,     0.09995895,              0,       271.4068,      -102.5114
       6.406406,     0.09995207,              0,       272.9984,      -102.9325
       6.408242,     0.09979423,              0,        273.128,      -103.1694
       6.410078,     0.09982595,              0,       272.7947,       -103.315
       6.411914,     0.09986821,              0,       273.6312,      -103.2279
       6.413711,     0.09983557,              0,       274.6199,      -103.2129
       6.415547,     0.09959358,              0,       274.2869,      -103.2711
       6.417383,     0.09961467,              0,       275.7528,      -102.7827
       6.419219,      0.0997891,              0,       278.4881,      -102.7064
       6.421055,     0.09990777,              0,       280.8746,      -102.7738
       6.422891,     0.09994552,              0,       283.0358,      -103.2682
       6.424726,     0.09974498,              0,       282.6371,      -103.5688
       6.426543,     0.09988083,              0,       282.9294,      -103.3061
       6.428379,     0.09969061,              0,       282.8961,      -103.1463
       6.430215,     0.09947813,              0,       283.1924,      -102.8929
       6.432051,     0.09961289,              0,       285.1294,      -102.4598
       6.433887,     0.09949745,              0,       287.3906,      -102.0914
       6.435684,     0.09979694,              0,       291.2109,      -102.0241
        6.43752,     0.09988493,              0,       294.7194,      -102.5775
       6.439355,      0.1002763,              0,        297.187,       -103.108
       6.441192,      0.1000141,              0,       296.7306,      -103.7942
       6.443027,     0.09980732,              0,       294.2646,       -104.108
       6.444863,      0.0996917,              0,       292.3053,      -103.5922
       6.446699,     0.09928527,              0,       292.7562,      -103.2625
       6.448535,     0.09953401,              0,       294.3988,      -102.6344
       6.450371,     0.09956533,              0,       298.9025,      -102.1124
       6.452168,     0.09997297,              0,       304.6369,      -102.0977
       6.454004,      0.1001379,              0,       307.4146,      -102.8278
        6.45584,      0.1001528,              0,       309.2062,      -103.5567
       6.457676,     0.09993567,              0,       307.5713,      -104.0515
