Sig Name,Drive F,Frame 51752,
Format,Mag,Scaling,EU

Hz,V
              6,     0.03508649
       6.001739,     0.03682911
       6.003574,     0.03631374
        6.00541,      0.0363488
       6.007207,     0.03646366
       6.009043,     0.03643186
       6.010879,     0.03623281
       6.012715,     0.03609545
       6.014551,     0.03616668
       6.016387,      0.0361805
       6.018223,     0.03614046
       6.020059,     0.03618317
       6.021855,     0.03617109
       6.023692,     0.03612531
       6.025527,     0.03595614
       6.027363,      0.0361045
       6.029199,     0.03584576
       6.031035,     0.03585865
       6.032871,      0.0360877
       6.034707,     0.03532784
       6.036504,     0.03527286
        6.03834,     0.03580058
       6.040176,     0.03602796
       6.042012,     0.03585965
       6.043848,     0.03573261
       6.045664,     0.03575789
         6.0475,       0.035629
       6.049336,     0.03570087
       6.051172,     0.03568419
       6.053008,     0.03556333
       6.054844,     0.03557589
        6.05668,     0.03555807
       6.058516,     0.03525173
       6.060313,     0.03546092
       6.062149,     0.03531127
       6.063984,     0.03558542
        6.06582,     0.03520947
       6.067657,     0.03539579
       6.069492,     0.03542662
       6.071328,      0.0355581
       6.073164,     0.03540931
       6.074961,     0.03520379
       6.076797,     0.03522051
       6.078633,     0.03529452
       6.080469,      0.0352698
       6.082305,     0.03515141
       6.084141,      0.0351206
       6.085977,     0.03517897
       6.087812,     0.03509826
       6.089649,     0.03504239
       6.091445,     0.03501189
       6.093281,     0.03499915
       6.095117,     0.03495272
       6.096953,     0.03493341
       6.098789,     0.03488718
       6.100625,     0.03489946
       6.102461,     0.03493535
       6.104297,     0.03485474
       6.106094,     0.03471556
        6.10793,     0.03479302
       6.109766,     0.03484217
       6.111602,     0.03474217
       6.113438,     0.03466176
       6.115273,     0.03468172
       6.117109,     0.03470131
       6.118946,     0.03462388
       6.120742,      0.0345824
       6.122578,     0.03456917
       6.124414,     0.03457618
        6.12625,     0.03453314
       6.128086,     0.03417746
       6.129922,     0.03422293
       6.131758,     0.03439109
       6.133594,     0.03438616
        6.13541,     0.03438487
       6.137246,     0.03426789
       6.139082,     0.03446236
       6.140918,     0.03446687
       6.142754,     0.03435702
       6.144551,     0.03434196
       6.146387,      0.0339354
       6.148223,     0.03409328
       6.150059,     0.03422293
       6.151895,     0.03411771
        6.15373,     0.03407791
       6.155567,     0.03409692
       6.157403,      0.0340693
       6.159199,     0.03404566
       6.161035,     0.03393805
       6.162871,     0.03388356
       6.164707,     0.03392345
       6.166543,     0.03394115
       6.168379,     0.03385185
       6.170215,      0.0338195
       6.172051,     0.03380948
       6.173887,     0.03377265
       6.175683,     0.03377642
        6.17752,      0.0337574
       6.179356,     0.03369388
       6.181191,     0.03368054
       6.183027,     0.03368201
       6.184864,     0.03366954
       6.186699,     0.03356085
       6.188535,     0.03350068
       6.190332,     0.03354217
       6.192168,     0.03355698
       6.194004,     0.03351007
        6.19584,     0.03340633
       6.197676,     0.03341932
       6.199512,     0.03343956
       6.201348,     0.03339155
       6.203184,      0.0333358
       6.205019,     0.03327061
       6.206817,     0.03323118
       6.208652,     0.03327424
       6.210488,     0.03326238
       6.212324,     0.03313085
        6.21416,     0.03311707
       6.215996,     0.03320174
       6.217832,     0.03319788
       6.219668,       0.033099
       6.221465,      0.0329269
       6.223301,     0.03293745
       6.225137,     0.03306897
       6.226973,     0.03306613
       6.228789,     0.03297771
       6.230625,     0.03286982
       6.232461,       0.032782
       6.234297,     0.03282853
       6.236133,     0.03289495
       6.237969,     0.03283773
       6.239805,      0.0327397
       6.241641,     0.03270612
       6.243438,     0.03266946
       6.245274,     0.03272483
       6.247109,     0.03273072
       6.248945,      0.0326526
       6.250782,     0.03255701
       6.252617,     0.03245854
       6.254453,     0.03242897
       6.256289,      0.0325092
       6.258125,     0.03256358
       6.259922,     0.03248426
       6.261758,     0.03236465
       6.263594,     0.03234808
        6.26543,     0.03236231
       6.267266,     0.03230783
       6.269102,      0.0322863
       6.270937,     0.03224242
       6.272774,     0.03218328
        6.27457,     0.03215917
       6.276406,     0.03215749
       6.278242,     0.03207185
       6.280078,      0.0318014
       6.281914,     0.03209875
        6.28375,     0.03233542
       6.285586,     0.03227787
       6.287422,     0.03180743
       6.289258,     0.03199081
       6.291055,     0.03206063
       6.292891,     0.03198751
       6.294727,     0.03196266
       6.296563,     0.03199928
       6.298398,     0.03204482
       6.300234,     0.03177873
       6.302071,     0.03166654
       6.303906,     0.03183095
       6.305703,     0.03170117
       6.307539,     0.03189154
       6.309375,     0.03193217
       6.311211,     0.03160244
       6.313047,      0.0315042
       6.314883,      0.0315726
       6.316719,      0.0315671
       6.318555,     0.03160506
       6.320352,     0.03155944
       6.322187,     0.03143676
       6.324024,     0.03139013
       6.325879,      0.0314791
       6.327715,     0.03138775
       6.329512,     0.03119336
       6.331348,     0.03129939
       6.333184,      0.0311925
        6.33502,     0.03104073
       6.336855,     0.03106061
       6.338692,     0.03120652
       6.340528,     0.03117919
       6.342363,     0.03099829
        6.34416,     0.03091525
       6.345996,      0.0309157
       6.347832,     0.03095125
       6.349668,     0.03098339
       6.351504,     0.03088242
        6.35334,      0.0307776
       6.355176,     0.03074772
       6.357012,     0.03080357
       6.358809,     0.03082554
       6.360645,     0.03072577
       6.362481,     0.03058572
       6.364316,     0.03058439
       6.366152,     0.03062637
       6.367989,     0.03070862
       6.369824,     0.03063935
        6.37166,      0.0305284
       6.373496,     0.03044852
       6.375293,     0.03046435
       6.377129,     0.03041559
       6.378965,     0.03039263
       6.380801,     0.03036541
       6.382637,     0.03032962
       6.384473,     0.03036999
       6.386309,     0.03031807
       6.388144,     0.03019713
       6.389942,     0.03019775
       6.391778,     0.03009692
       6.393613,     0.03011339
       6.395449,     0.03013943
       6.397285,     0.03010821
       6.399121,     0.03009122
       6.400957,     0.03007433
       6.402793,     0.03001612
