Group Signal ,Sx,Frame 51752,
Format,Mag/Phase,Scaling,EU
Signals,S:1,,S:3,
Chan,1,,3,
Chan Name,I_001,,I_003,
Point,0 X,,0 X,

Hz,g,deg,mm/s,deg
Scaling,Mag,Phase,Mag,Phase
              6,      0.0952467,              0,       131.0356,      -105.0763
       6.001739,      0.1016254,              0,       143.8228,      -98.84899
       6.003574,     0.09966408,              0,       131.9738,      -99.69901
        6.00541,     0.09952743,              0,       133.4851,       -103.287
       6.007207,      0.1005043,              0,       142.0706,      -101.8273
       6.009043,      0.1003554,              0,       137.6868,       -98.8129
       6.010879,     0.09969851,              0,       134.9419,       -102.052
       6.012715,     0.09968497,              0,        139.698,      -101.6853
       6.014551,      0.1002624,              0,       139.1211,      -101.0721
       6.016387,      0.1002747,              0,       138.9952,      -101.2819
       6.018223,      0.1011043,              0,       138.1312,       -101.733
       6.020059,       0.100684,              0,       141.0664,       -101.111
       6.021855,      0.1000749,              0,       139.1627,      -100.6378
       6.023692,      0.1006913,              0,       137.3817,      -102.3386
       6.025527,      0.1001024,              0,       143.1048,      -101.4902
       6.027363,      0.1000878,              0,       141.5492,      -100.0227
       6.029199,     0.09934618,              0,       137.9095,      -101.6261
       6.031035,     0.09911892,              0,       137.6576,      -98.85634
       6.032871,     0.09885531,              0,       148.9237,      -103.3505
       6.034707,     0.09829941,              0,       144.0866,      -98.08614
       6.036504,     0.09843912,              0,       135.0983,      -102.8334
        6.03834,      0.1002699,              0,       145.4169,      -104.0274
       6.040176,      0.1014848,              0,        147.571,      -100.2498
       6.042012,      0.1000995,              0,       139.1786,      -100.0913
       6.043848,     0.09939054,              0,       141.7633,      -102.9265
       6.045664,      0.1001503,              0,       146.3431,      -101.7754
         6.0475,      0.1001806,              0,       144.4645,         -100.5
       6.049336,     0.09996345,              0,       143.3499,      -101.4134
       6.051172,      0.1001934,              0,       144.8459,      -101.0338
       6.053008,     0.09978984,              0,       144.0695,      -101.3964
       6.054844,     0.09980024,              0,       145.9317,      -101.9435
        6.05668,      0.1001807,              0,        148.103,      -102.0725
       6.058516,     0.09924182,              0,       147.3426,      -100.5977
       6.060313,     0.09970707,              0,       145.5904,      -102.0757
       6.062149,     0.09936209,              0,       144.6056,      -101.3772
       6.063984,      0.1007093,              0,       147.7877,      -103.6943
        6.06582,      0.1001066,              0,       153.0588,      -101.7118
       6.067657,      0.1007726,              0,       144.3486,      -99.40776
       6.069492,     0.09996799,              0,       143.2725,      -102.5784
       6.071328,      0.1004442,              0,       150.4192,      -102.3984
       6.073164,       0.100394,              0,       150.3866,      -100.6434
       6.074961,      0.0997462,              0,        146.284,      -101.1385
       6.076797,     0.09992276,              0,       148.4812,      -101.8674
       6.078633,      0.1002855,              0,       150.9074,      -102.1447
       6.080469,      0.1003859,              0,       152.3492,      -100.8224
       6.082305,     0.09988259,              0,        148.659,      -100.9697
       6.084141,      0.0997893,              0,       149.7097,      -102.1274
       6.085977,      0.1002021,              0,       151.4782,      -101.7655
       6.087812,      0.1001108,              0,       152.7074,      -101.2103
       6.089649,     0.09991904,              0,       150.9684,      -101.2703
       6.091445,     0.09994376,              0,       152.9197,       -101.586
       6.093281,     0.09995482,              0,        153.649,      -101.7017
       6.095117,      0.1001284,              0,       154.9218,      -101.2821
       6.096953,     0.09999618,              0,        152.653,      -100.3786
       6.098789,     0.09959678,              0,       149.6794,      -101.2382
       6.100625,     0.09968988,              0,       152.0692,      -103.0804
       6.102461,      0.1003236,              0,       158.0477,      -101.9654
       6.104297,      0.1003757,              0,        155.969,      -100.1682
       6.106094,      0.0997739,              0,       152.9173,      -101.5089
        6.10793,     0.09988175,              0,       154.7666,      -102.3269
       6.109766,      0.1003084,              0,        158.293,      -101.4541
       6.111602,      0.1001592,              0,       156.0255,      -100.9785
       6.113438,     0.09987943,              0,       155.4081,      -101.6022
       6.115273,     0.09995618,              0,       156.2927,       -102.176
       6.117109,      0.1001908,              0,       158.8419,      -101.7462
       6.118946,      0.1000959,              0,       158.1704,      -101.1252
       6.120742,     0.09991128,              0,       156.3859,      -102.0634
       6.122578,      0.1001347,              0,       160.5124,      -102.4382
       6.124414,     0.09987771,              0,        161.945,      -100.9899
        6.12625,      0.1009118,              0,       158.5942,      -101.9426
       6.128086,      0.0991811,              0,       159.5289,      -102.3305
       6.129922,     0.09955229,              0,       160.6203,      -101.7573
       6.131758,      0.1001548,              0,       161.0986,      -101.6726
       6.133594,     0.09963658,              0,       161.5479,      -101.5767
        6.13541,      0.1002358,              0,       162.0378,      -101.6887
       6.137246,     0.09951967,              0,       162.2523,      -100.7989
       6.139082,      0.1000043,              0,       160.9824,      -100.5596
       6.140918,      0.1004879,              0,       162.9651,      -101.4641
       6.142754,      0.1001072,              0,       165.1379,      -100.2708
       6.144551,     0.09982383,              0,       163.1651,       -101.287
       6.146387,      0.0992552,              0,       162.9121,      -101.9167
       6.148223,     0.09989467,              0,       164.9532,      -102.6719
       6.150059,      0.1004758,              0,       167.6449,      -101.3576
