Group Signal ,Sx,Frame 64553,
Format,Mag/Phase,Scaling,EU
Signals,S:1,,S:3,
Chan,1,,3,
Chan Name,I_001,,I_003,
Point,0 X,,0 X,

Hz,g,deg,mm/s,deg
Scaling,Mag,Phase,Mag,Phase
              6,      0.1902613,              0,       213.3431,      -102.1889
       6.001738,      0.2019683,              0,       229.2668,      -100.2389
       6.003574,      0.1997637,              0,       219.2482,      -100.5716
        6.00541,      0.1997083,              0,       224.0202,      -101.4871
       6.007207,      0.2005305,              0,       224.3772,      -100.6678
       6.009043,      0.2001886,              0,       222.9767,      -100.6861
       6.010879,      0.2001101,              0,       225.1211,      -100.9853
       6.012715,      0.2002428,              0,       224.4942,       -100.626
       6.014551,      0.2000329,              0,       225.9319,      -101.1511
       6.016387,      0.2002676,              0,       225.0388,      -100.3548
       6.018223,      0.1999152,              0,       226.6199,      -101.3331
       6.020059,      0.2001722,              0,       227.4029,      -100.9289
       6.021855,      0.2000546,              0,       225.2053,      -100.4375
       6.023691,      0.1999066,              0,       227.0509,      -101.4729
       6.025527,      0.2003043,              0,       227.3732,       -100.909
       6.027363,      0.2001384,              0,       228.1005,      -100.9991
       6.029199,      0.2001197,              0,       228.6052,      -101.0272
       6.031035,      0.2001255,              0,        228.411,      -101.1571
       6.032871,      0.2001888,              0,       230.2827,      -101.0267
       6.034707,      0.2000901,              0,       228.8455,      -100.8573
       6.036504,       0.200002,              0,       229.6521,      -100.9362
        6.03834,      0.2001466,              0,       230.0995,      -101.0069
       6.040176,      0.2002354,              0,       231.0608,       -100.764
       6.042012,      0.1999601,              0,       230.6024,      -101.0464
       6.043848,      0.2001603,              0,       230.7411,      -100.9312
       6.045664,      0.1999532,              0,       232.0001,       -101.327
         6.0475,      0.2002278,              0,       233.6791,      -101.0294
       6.049336,      0.2000563,              0,       231.5918,      -100.6715
       6.051172,      0.1999302,              0,       231.2195,      -101.1939
       6.053008,      0.2002187,              0,       235.2623,      -101.3926
       6.054844,      0.2003644,              0,       233.9185,      -100.4546
        6.05668,      0.1997115,              0,       232.1509,      -101.0921
       6.058516,      0.1998727,              0,       234.7765,      -100.9023
       6.060312,      0.1999201,              0,       233.4017,      -100.9829
       6.062149,      0.2001073,              0,       234.6366,      -101.0322
       6.063984,      0.2000992,              0,       234.4047,       -100.931
        6.06582,      0.1998957,              0,       236.5115,      -101.5157
       6.067656,      0.2002567,              0,        236.723,       -100.816
       6.069492,      0.1999925,              0,       236.1848,      -101.1515
       6.071328,      0.2001736,              0,       237.0575,      -100.8299
       6.073164,      0.2000187,              0,       236.4415,      -101.5514
       6.074961,      0.2001917,              0,       239.0545,       -101.177
       6.076797,      0.2002342,              0,       237.9737,       -101.007
       6.078633,      0.1999005,              0,       237.7993,      -101.3454
       6.080469,      0.2002749,              0,       239.9946,      -100.7624
       6.082304,      0.2000524,              0,       237.8859,      -101.1807
       6.084141,      0.2002164,              0,       240.8832,      -101.0921
       6.085977,      0.2000846,              0,       239.2905,      -100.9792
       6.087812,      0.2000348,              0,       240.9158,      -101.2598
       6.089648,      0.2001813,              0,       241.3596,      -100.8563
       6.091445,      0.2001253,              0,       240.2553,        -101.11
       6.093281,      0.2002963,              0,       242.3869,      -101.3181
       6.095117,      0.2002715,              0,       241.9169,      -100.7516
       6.096953,      0.2000069,              0,       243.4476,      -101.3313
       6.098789,      0.2002344,              0,       244.3431,      -100.6224
       6.100625,      0.1998616,              0,       241.8419,      -100.8809
       6.102461,      0.1999878,              0,       244.4736,      -101.1596
       6.104297,      0.2003391,              0,       246.1463,      -100.8068
       6.106094,      0.2001631,              0,       244.8082,      -100.5365
        6.10793,      0.1998582,              0,       244.2763,      -101.0959
       6.109766,      0.2001499,              0,       247.6447,      -101.0183
       6.111601,      0.2001299,              0,       246.8893,      -100.5949
       6.113438,      0.1998672,              0,       244.6923,      -100.9558
       6.115273,      0.1999945,              0,       248.0949,      -101.2552
       6.117109,      0.2002542,              0,       249.6571,      -100.8491
       6.118945,      0.1999812,              0,       246.5117,       -100.612
       6.120742,      0.1999215,              0,       248.2585,      -101.2844
       6.122578,      0.2003481,              0,       252.1229,      -100.8411
       6.124414,      0.2001372,              0,       248.7354,      -100.5745
        6.12625,      0.1998162,              0,       250.3605,      -101.4567
       6.128086,      0.2004893,              0,       254.1389,      -100.6098
       6.129922,      0.2000415,              0,       249.9508,      -100.6539
       6.131758,      0.1997816,              0,       250.3129,      -101.3287
       6.133594,      0.2003089,              0,       255.0657,      -100.9585
        6.13541,      0.2000945,              0,       251.5635,      -100.6847
       6.137246,      0.1998211,              0,       251.6023,      -101.4551
       6.139082,      0.2002771,              0,        256.449,      -101.0878
       6.140918,      0.2002454,              0,       253.2759,      -100.8987
       6.142754,      0.1999682,              0,       254.7292,      -101.3186
       6.144551,      0.2002741,              0,        255.686,       -100.938
       6.146387,      0.2000777,              0,       256.3065,      -100.9331
       6.148222,      0.2001581,              0,       256.2296,      -100.7197
       6.150059,      0.1999489,              0,       255.8971,      -101.0633
