Group Signal ,Sx,Frame 128552,
Format,Mag/Phase,Scaling,EU
Signals,S:1,,S:3,
Chan,1,,3,
Chan Name,I_001,,I_003,
Point,0 X,,0 X,

Hz,g,deg,mm/s,deg
Scaling,Mag,Phase,Mag,Phase
       6.197656,      0.2000206,              0,        332.676,      -101.5425
       6.199453,      0.1994587,              0,       331.5009,      -101.8973
       6.201289,      0.1994632,              0,        329.372,      -101.7345
       6.203125,      0.1997826,              0,       332.7905,      -101.4688
       6.204961,      0.1997613,              0,       334.3681,      -101.7979
       6.206797,      0.1996256,              0,       332.7085,      -101.7845
       6.208633,      0.1996561,              0,        332.955,       -101.442
       6.210469,      0.1995711,              0,       334.4633,      -101.4324
       6.212305,      0.1995476,              0,       335.8964,      -101.4046
       6.214102,      0.1996126,              0,       337.5427,      -101.3556
       6.215938,      0.2001096,              0,       339.7172,      -101.5297
       6.217773,       0.199716,              0,        340.256,      -102.0488
       6.219609,      0.1990525,              0,       334.3562,       -101.851
       6.221446,       0.199467,              0,       337.7366,      -100.8052
       6.223281,      0.2001565,              0,       344.3568,      -101.0781
       6.225117,      0.1998946,              0,       344.4755,      -102.0765
       6.226953,      0.1994621,              0,       341.6747,      -102.0694
        6.22875,      0.1993037,              0,        340.142,      -101.6544
       6.230586,      0.1998076,              0,       345.4836,      -101.2293
       6.232441,      0.1995473,              0,        346.632,      -101.6566
       6.234277,      0.1998833,              0,       347.7252,       -101.585
       6.236074,      0.1997003,              0,       348.1158,       -101.843
        6.23791,      0.1992826,              0,       345.4472,      -101.6523
       6.239746,      0.1998873,              0,       348.2287,      -101.1522
       6.241582,        0.19987,              0,       352.4453,      -101.5488
       6.243418,      0.1994183,              0,       349.6299,      -101.8285
       6.245254,      0.1995478,              0,       349.5175,      -101.6257
        6.24709,      0.1997442,              0,       353.5612,      -101.3128
       6.248926,      0.1995668,              0,       353.8439,      -101.7526
       6.250762,      0.1997386,              0,       354.4887,      -101.8381
       6.252559,      0.1994442,              0,        354.635,      -101.8709
       6.254395,      0.1996404,              0,       355.2844,      -101.7857
        6.25623,       0.199504,              0,       356.2501,      -101.5414
       6.258067,      0.1997411,              0,         357.77,      -101.2307
       6.259902,      0.2000912,              0,       361.9046,      -101.6061
       6.261738,      0.1996083,              0,       360.3847,      -102.2186
       6.263574,       0.199353,              0,       358.3491,      -101.9964
        6.26541,      0.1994112,              0,       359.5853,      -101.4483
       6.267207,      0.1995985,              0,       361.0794,      -101.1989
       6.269043,      0.1999927,              0,       365.5497,      -101.3849
       6.270879,      0.1995753,              0,       365.3774,      -101.9898
       6.272715,      0.1994172,              0,       363.2911,      -101.7203
       6.274551,      0.1994338,              0,       364.5889,        -101.45
       6.276387,      0.1999295,              0,       368.4007,      -101.2611
       6.278223,      0.2001426,              0,       370.7578,       -101.962
       6.280059,      0.1995056,              0,       368.3123,      -102.5496
       6.281895,       0.199202,              0,        365.389,      -101.8644
       6.283691,      0.1993234,              0,        367.548,       -101.123
       6.285527,      0.2000455,              0,       373.6826,      -100.8996
       6.287364,      0.2000045,              0,       376.3975,      -101.7432
