Group Signal ,Hxy,Frame 62091,
Format,Mag/Phase,Scaling,Ratio
Signals,H:1,,H:3,
Chan,1,,3,
Chan Name,I_001,,I_003,
Point,0 X,,0 X,

Hz,g/V,deg,(mm/s)/V,deg
Scaling,Mag,Phase,Mag,Phase
            4.2,       1.344268,       129.8275,       5013.276,      0.7343272
            4.4,       1.329278,       116.9171,       21079.57,      -51.02617
            4.6,       1.340673,       118.1535,       17796.98,      -77.65321
            4.8,       1.588596,       125.9198,       3996.371,      -160.0674
              5,       1.739752,         122.08,       2549.337,      -156.6224
            5.2,       1.872091,       118.7793,       1670.629,      -165.3255
            5.4,       1.982143,       116.3453,       1386.348,      -162.6073
            5.6,       2.164921,        113.129,       1135.167,      -169.3123
            5.8,       2.329523,       110.8444,       994.2094,      -170.1549
              6,        2.47683,       108.1385,       856.6104,      -171.9334
            6.2,       2.646742,       105.5904,       771.2365,      -174.2367
            6.4,       2.797134,       102.7303,       712.7869,      -177.7239
            6.6,       3.029023,        100.217,       630.8976,      -179.7134
            6.8,       3.241305,        97.0852,       592.0088,       178.4841
              7,       3.455377,       94.21636,        567.731,       174.4394
            7.2,       3.676176,       91.00789,       548.4853,       171.7733
            7.4,       3.836847,       85.49863,       510.1742,       166.1342
            7.6,       3.996736,       80.04475,       487.0737,       157.8831
            7.8,       3.965294,       73.69281,       426.7985,       146.0417
              8,       3.772009,       72.99376,       343.6941,       145.3126
            8.2,       3.843327,       74.58012,       280.4896,       149.6368
       8.400001,       4.030478,       74.96648,       265.8805,       151.5868
            8.6,        4.25665,       74.14346,       269.5495,       155.9304
            8.8,       4.474314,       72.34188,       280.1318,       154.4427
              9,       4.775209,       69.74147,       370.5475,       138.8135
            9.2,       5.047297,       65.93214,       343.4104,       147.2605
       9.400001,       5.331732,       64.77648,       232.6454,       147.3116
            9.6,        5.68252,       62.92254,       228.6974,       142.1946
            9.8,       5.890361,       59.84311,       229.8824,       143.1318
             10,       6.277236,       56.67373,       226.2424,       142.3498
           10.2,       6.538306,        54.4013,       223.8802,       139.8461
           10.4,       6.886132,       50.17583,       218.1257,       134.6896
           10.6,       7.060306,       46.25662,       208.7333,       131.4929
           10.8,       7.463257,       41.97338,       198.6731,       129.2538
             11,       7.813306,       38.39364,       197.8984,       126.7233
           11.2,         8.0897,        33.4914,        180.798,       124.0048
           11.4,       8.073396,       25.24315,       168.5018,       119.0243
           11.6,        8.13625,       18.81179,        158.171,       114.1887
           11.8,       7.931118,       14.13088,       151.5291,       112.4182
             12,       7.208879,       8.373111,       141.5297,       111.5788
           12.2,       6.673697,       6.989567,       131.6862,       113.5297
           12.4,       6.155557,       7.668186,        127.411,       114.5685
           12.6,         5.8101,       11.46543,       138.3538,       114.6451
           12.8,       5.816212,         14.459,       122.1925,       113.6622
             13,       5.996187,       16.19193,       136.7648,         109.54
           13.2,       6.274762,       17.27596,       129.6755,        102.036
           13.4,       6.469857,       18.45929,       110.7708,       100.6849
           13.6,       6.862926,       18.78657,       145.0051,       118.8278
           13.8,        7.17015,       17.57952,       92.35401,        116.519
             14,       7.607711,       17.26951,       114.0473,       96.03947
           14.2,       8.002601,       15.31279,       114.6018,       99.85139
           14.4,       8.246758,       13.61965,       113.8999,       96.63119
           14.6,       8.658503,       11.60914,       113.2752,       94.56493
           14.8,       9.023175,        9.48113,       113.1686,        92.1124
             15,       9.272377,       6.971307,       105.9768,       92.59109
           15.2,        9.55372,       4.425333,       104.3898,       87.76915
           15.4,       9.935491,       2.384435,       101.0669,       86.70458
           15.6,       10.17711,      0.3707248,       102.1277,       85.59347
           15.8,       10.45651,      -1.761904,       102.3802,       83.45684
             16,       10.72121,      -3.789342,       101.3423,       81.51991
           16.2,       10.98073,      -5.434256,       96.27328,       81.03445
           16.4,       11.35266,      -8.053261,       96.98985,       75.74055
           16.6,       11.71991,      -10.62272,       97.72845,       73.32633
           16.8,       11.92366,      -12.65193,        95.6096,       75.62279
             17,       12.11938,      -15.30712,       90.86704,       70.49206
           17.2,       12.36966,      -17.33185,        100.223,       70.20753
           17.4,       12.76507,      -19.63486,       83.49489,       72.65884
           17.6,       12.92783,      -21.83012,       91.14862,       57.44778
           17.8,       13.37289,      -24.17821,       85.98776,       59.26192
             18,         13.522,      -26.70125,       69.38271,       56.30702
           18.2,        13.7444,      -28.72946,       89.66599,       55.22866
           18.4,       14.15509,      -30.69672,       77.68331,       51.27949
           18.6,        14.3974,      -33.27728,       81.20917,       53.55472
           18.8,       14.63616,      -35.59356,       87.99946,       48.50468
             19,       14.77694,      -37.98892,       83.96432,       51.54214
           19.2,       15.04005,      -40.33574,       79.85478,       50.20993
           19.4,       15.40218,      -42.56948,       78.29205,       44.17513
           19.6,       15.52917,      -43.98087,        83.4988,       46.09311
           19.8,       15.76464,      -45.86395,       99.85328,       47.74766
             20,       16.12362,        -47.592,       86.95669,       44.99699
