Group Signal ,Xx,Frame 123529,
Format,Real,Scaling,EU
Signals,X:1,X:3
Chan,1,3
Chan Name,I_001,I_003
Point,0 X,0 X

sec,g,mm/s

              0,      0.1872907,      -250.2826
    0.004882813,      0.1940933,      -221.2453
    0.009765625,      0.1967735,      -187.9681
     0.01464844,      0.1961976,      -150.4792
     0.01953125,      0.2035239,      -110.6118
     0.02441406,      0.1996295,      -69.82536
     0.02929688,      0.1993496,      -27.92505
     0.03417969,      0.1767984,       14.79631
      0.0390625,      0.1710752,       57.77856
     0.04394531,      0.1598594,        99.2636
     0.04882813,      0.1467902,       139.1075
     0.05371094,      0.1214756,        176.942
     0.05859375,      0.1126611,        212.739
     0.06347656,       0.102237,       245.0641
     0.06835938,     0.07328512,       272.4726
     0.07324219,     0.05507611,       294.6061
       0.078125,     0.03663145,       311.3625
     0.08300781,     0.01832936,       323.7086
     0.08789063,     0.00052375,       335.2813
     0.09277344,     -0.0178149,       341.5817
     0.09765625,     -0.0496925,       342.4088
      0.1025391,    -0.08006766,       336.1322
      0.1074219,    -0.09704487,       324.4144
      0.1123047,     -0.1226467,       309.3368
      0.1171875,     -0.1521485,       290.7267
      0.1220703,     -0.1740746,       269.3871
      0.1269531,     -0.1870696,       241.8974
      0.1318359,     -0.2001264,       211.3402
      0.1367188,     -0.2067289,       176.7328
      0.1416016,     -0.2065188,       138.6895
      0.1464844,      -0.203639,       99.09958
      0.1513672,     -0.2031569,       56.84226
        0.15625,     -0.1877915,       14.21196
      0.1611328,     -0.1777774,      -28.31406
      0.1660156,     -0.1727104,      -69.21033
      0.1708984,     -0.1549471,      -108.9368
      0.1757813,     -0.1354931,      -147.8439
      0.1806641,     -0.1229877,      -184.8779
      0.1855469,     -0.1090412,      -219.9131
      0.1904297,    -0.09105318,      -250.3645
      0.1953125,    -0.07119108,      -275.5699
      0.2001953,    -0.05000133,      -295.6986
      0.2050781,    -0.03115214,      -312.8254
      0.2099609,    -0.01192157,      -325.2842
      0.2148438,     0.01496979,      -333.0369
      0.2197266,     0.04322483,      -335.7927
      0.2246094,     0.07011165,      -333.8289
      0.2294922,     0.09647792,      -326.6445
       0.234375,        0.12116,      -315.3538
      0.2392578,      0.1468077,      -300.4873
      0.2441406,      0.1718326,       -279.513
      0.2490234,      0.1867595,      -255.2944
      0.2539063,      0.1918876,      -227.0172
      0.2587891,      0.1938859,      -194.4469
      0.2636719,      0.1965996,      -157.9763
      0.2685547,      0.2075664,      -118.9408
      0.2734375,      0.1972417,      -78.80896
      0.2783203,      0.1969159,      -37.45286
      0.2832031,      0.1829961,        4.78439
      0.2880859,      0.1727631,       47.48052
      0.2929688,      0.1612085,       89.29159
      0.2978516,      0.1474039,       129.3943
      0.3027344,      0.1294305,       167.5317
      0.3076172,      0.1117333,       203.3833
         0.3125,       0.102618,       236.4813
      0.3173828,     0.08223496,       265.1012
      0.3222656,     0.06039478,       288.8035
      0.3271484,     0.03797718,       307.0829
      0.3320313,     0.02681579,       320.3724
      0.3369141,    0.004164346,        332.137
      0.3417969,    -0.01852877,       339.9361
      0.3466797,     -0.0408673,       342.1851
      0.3515625,    -0.06985597,       337.8599
      0.3564453,    -0.09702396,       327.1783
      0.3613281,     -0.1210387,        312.876
      0.3662109,     -0.1432603,       295.1454
      0.3710938,     -0.1689065,       274.8444
      0.3759766,     -0.1858634,       248.6519
      0.3808594,     -0.1992104,       219.0187
      0.3857422,     -0.2063003,       185.2075
       0.390625,     -0.2097257,       148.0874
      0.3955078,     -0.2012111,       109.1213
      0.4003906,     -0.2023995,       67.18728
      0.4052734,     -0.1935719,       24.77106
      0.4101563,     -0.1834114,      -17.90438
      0.4150391,     -0.1682843,      -59.35295
      0.4199219,     -0.1587177,      -99.23069
      0.4248047,     -0.1417897,      -138.2687
      0.4296875,     -0.1265386,      -175.7128
      0.4345703,     -0.1089092,      -211.5709
      0.4394531,    -0.09353577,       -242.559
      0.4443359,    -0.07243384,      -269.0296
      0.4492188,    -0.05644159,      -290.7014
      0.4541016,    -0.03566407,      -308.1166
      0.4589844,    -0.01485072,      -321.9018
      0.4638672,    0.008030404,      -330.7835
        0.46875,     0.03573714,      -334.2744
      0.4736328,     0.06489779,      -334.0671
      0.4785156,     0.09145963,      -328.2426
      0.4833984,      0.1175594,      -317.7118
      0.4882813,      0.1451425,      -304.6198
