Group Signal ,Sx,Frame 62091,
Format,Mag/Phase,Scaling,EU
Signals,S:1,,S:3,
Chan,1,,3,
Chan Name,I_001,,I_003,
Point,0 X,,0 X,

Hz,g,deg,mm/s,deg
Scaling,Mag,Phase,Mag,Phase
              4,       0.187352,              0,       303.8958,      -105.5716
       4.001973,       0.200644,              0,       324.3732,      -102.7249
       4.003926,      0.2002225,              0,       336.7371,      -106.8206
       4.005879,      0.1997748,              0,       314.0057,      -106.0849
       4.007832,      0.2004605,              0,       331.4837,      -103.5844
       4.009785,      0.2001174,              0,       332.8758,      -107.5555
       4.011738,      0.1999521,              0,       318.4462,      -105.4973
       4.013691,      0.2003899,              0,       333.1081,      -104.2902
       4.015645,      0.2001115,              0,       333.6631,      -106.9922
       4.017598,      0.2000208,              0,       324.3156,      -105.5624
       4.019551,      0.2003448,              0,       335.0779,       -104.807
       4.021504,      0.2000453,              0,       330.6177,      -106.6555
       4.023457,      0.2001272,              0,       329.0809,      -105.1431
        4.02541,      0.2002467,              0,        337.519,      -105.7236
       4.027363,      0.2000079,              0,       330.5151,      -106.8846
       4.029316,      0.2002561,              0,       334.5478,      -105.2839
        4.03127,       0.200215,              0,       339.4256,       -105.868
       4.033223,      0.2000144,              0,       331.3217,      -105.8869
       4.035176,      0.2003419,              0,       343.0481,      -105.4487
       4.037129,       0.199999,              0,          334.9,      -107.2231
       4.039082,      0.2002039,              0,        336.893,      -104.9483
       4.041035,      0.2001981,              0,       342.2269,      -106.1136
       4.042988,      0.2000599,              0,       336.4503,      -105.9991
       4.044941,      0.2002431,              0,       342.0211,      -105.1584
       4.046895,      0.2000951,              0,       341.2231,      -106.2975
       4.048848,       0.200162,              0,       341.3816,       -105.333
       4.050801,      0.2002112,              0,       347.0161,      -105.9536
       4.052754,      0.2000192,              0,       338.9716,      -105.8705
       4.054717,      0.2002714,              0,       346.0083,       -105.199
        4.05665,      0.2001377,              0,       346.4725,      -106.2685
       4.058603,      0.2001035,              0,       343.7108,      -105.4586
       4.060556,      0.2001671,              0,       348.2229,      -105.4765
        4.06251,      0.2001271,              0,       346.6637,       -106.123
       4.064463,       0.200161,              0,       347.2468,      -105.5474
       4.066416,      0.2001673,              0,       349.6929,      -106.1186
       4.068369,      0.2001239,              0,       347.9245,      -105.2091
       4.070322,      0.2002042,              0,       353.3128,      -106.0673
       4.072275,      0.2000297,              0,       347.3127,      -106.1623
       4.074228,      0.2002971,              0,       356.0159,      -105.0496
       4.076181,      0.2000866,              0,        352.704,      -106.4174
       4.078135,      0.2002019,              0,       352.4035,      -104.9843
       4.080107,      0.2001486,              0,       355.1517,      -105.7505
        4.08206,      0.2001571,              0,       355.2114,      -105.8156
       4.084013,      0.2002698,              0,       360.5044,      -105.0626
       4.085967,      0.1999685,              0,       353.2654,       -106.323
        4.08792,      0.2002736,              0,       360.3032,      -104.9025
       4.089873,      0.2000771,              0,        357.497,      -106.6505
       4.091826,      0.2001886,              0,       358.0949,      -104.6778
       4.093779,      0.2001752,              0,       362.3875,      -106.1962
       4.095732,      0.2000665,              0,       356.9568,       -105.164
       4.097685,      0.2002968,              0,       367.4383,       -105.419
       4.099638,      0.1999821,              0,       359.0104,      -106.0123
       4.101592,      0.2003109,              0,       367.5558,      -104.7163
       4.103545,      0.2000086,              0,       361.3853,      -106.7651
       4.105498,      0.2002734,              0,        365.922,      -104.8251
       4.107451,      0.2001583,              0,       368.9446,      -106.6604
       4.109395,       0.200057,              0,       361.8748,      -104.9367
       4.111348,      0.2002864,              0,       373.4939,      -105.4909
       4.113301,      0.1999617,              0,        363.107,      -105.7064
       4.115254,       0.200308,              0,       374.3502,      -104.7565
       4.117207,      0.2000069,              0,       367.7139,      -106.7843
        4.11916,      0.2002266,              0,          370.8,      -104.0175
       4.121113,      0.2001433,              0,       373.3412,      -106.7501
       4.123066,      0.2000528,              0,       367.8644,      -104.9833
        4.12502,      0.2002186,              0,       375.8696,      -106.2238
       4.126973,      0.2001264,              0,       372.4726,      -104.7045
       4.128926,      0.2002013,              0,       379.2797,      -105.8035
       4.130879,      0.2000135,              0,       370.2074,      -105.1874
       4.132832,      0.2002957,              0,       381.6908,      -105.2197
       4.134785,      0.2000634,              0,       376.9796,      -105.8298
       4.136738,       0.200169,              0,       379.3357,      -105.2574
       4.138691,      0.2001254,              0,       378.5832,      -105.7409
       4.140645,      0.2001761,              0,       381.4478,      -105.5484
       4.142598,      0.2001192,              0,        381.282,      -105.2804
       4.144551,      0.2001168,              0,       381.9603,      -105.9125
       4.146504,      0.2001678,              0,       382.9022,      -104.6339
       4.148457,      0.2001438,              0,       382.9297,      -105.4538
        4.15041,      0.2001532,              0,       385.0581,      -105.5459
       4.152363,      0.2001258,              0,       384.0419,      -105.4938
       4.154316,      0.2001482,              0,       386.7491,       -105.733
        4.15627,       0.200129,              0,       386.4212,      -105.4862
       4.158223,      0.2001763,              0,        387.722,      -105.2427
       4.160176,      0.2001426,              0,       389.6904,      -105.6171
