Group Signal ,Sx,Frame 123421,
Format,Mag/Phase,Scaling,EU
Signals,S:1,,S:3,
Chan,1,,3,
Chan Name,I_001,,I_003,
Point,0 X,,0 X,

Hz,g,deg,mm/s,deg
Scaling,Mag,Phase,Mag,Phase
       4.001944,     0.04993177,              0,       95.03352,      -101.8694
       4.003906,     0.05004138,              0,       103.7323,       -108.993
       4.005859,     0.04981932,              0,       93.15964,      -104.4033
       4.007813,     0.05010251,              0,       105.0257,      -106.4688
       4.009766,     0.04984363,              0,       95.74493,      -106.2544
       4.011719,     0.05006903,              0,       104.8139,      -105.0609
       4.013672,     0.04982369,              0,       96.54826,      -107.8568
       4.015625,     0.05003858,              0,       104.4226,      -103.8097
       4.017578,     0.04992148,              0,       98.75162,      -109.1727
       4.019531,      0.0499194,              0,       100.5535,      -101.6666
       4.021484,     0.05004594,              0,       104.0107,       -109.122
       4.023438,     0.04987458,              0,       98.53994,      -101.0453
       4.025391,     0.05006875,              0,       107.9811,      -108.2887
       4.027344,     0.04986016,              0,        97.2463,      -104.5579
       4.029297,     0.05004116,              0,       106.1069,       -106.002
        4.03125,     0.04989279,              0,       101.0672,      -105.4153
       4.033203,     0.05008037,              0,       107.5063,      -104.7865
       4.035156,     0.04993768,              0,       101.6997,      -109.0946
       4.037109,     0.04991478,              0,       102.2565,      -102.9713
       4.039063,     0.05005065,              0,       107.7839,       -107.377
       4.041016,     0.04989029,              0,       100.8266,      -105.3034
       4.042969,     0.05001242,              0,       106.5814,      -106.7487
       4.044922,      0.0498904,              0,       102.8393,      -104.9357
       4.046875,     0.05001223,              0,       107.8579,       -106.394
       4.048828,     0.04991532,              0,       103.5222,      -105.5046
       4.050781,     0.05002413,              0,       108.7505,      -104.6404
       4.052734,     0.04997845,              0,       106.5405,      -107.0197
       4.054688,     0.04989276,              0,       104.7147,      -105.5774
       4.056631,     0.05004909,              0,       110.8407,      -105.3522
       4.058584,     0.04993773,              0,       105.4367,      -107.5818
       4.060537,     0.04995215,              0,       108.5086,      -103.0879
        4.06249,     0.05006292,              0,       111.2307,       -107.828
       4.064444,     0.04979513,              0,       102.7436,      -103.6586
       4.066397,     0.05014351,              0,       118.6493,      -105.1273
        4.06835,     0.04985596,              0,       106.0503,      -108.6423
       4.070303,     0.05000865,              0,       111.9702,      -102.8947
       4.072256,     0.05001817,              0,       113.6128,      -107.6336
       4.074209,     0.04985765,              0,       106.9353,      -106.3777
       4.076162,     0.04997238,              0,        113.446,      -105.2573
       4.078115,     0.04991749,              0,       113.3059,      -104.7004
       4.080088,     0.05008176,              0,       118.0327,       -107.175
       4.082041,     0.04982758,              0,       108.1283,      -106.6024
       4.083994,     0.05009197,              0,       118.6481,      -104.4467
       4.085948,     0.04988174,              0,       111.0935,      -107.6651
       4.087901,     0.04993059,              0,       114.8075,      -103.0978
       4.089854,     0.05002737,              0,       117.6829,      -108.3313
       4.091807,     0.04984711,              0,       110.4929,      -105.0577
        4.09376,     0.05006104,              0,       120.2385,      -103.7372
       4.095713,      0.0499394,              0,       114.0259,       -107.493
       4.097666,     0.04988293,              0,       114.2956,      -103.2048
       4.099619,     0.05016456,              0,       124.4902,      -105.6986
       4.101573,     0.04985127,              0,        110.374,      -110.5448
       4.103526,     0.04989436,              0,       116.0745,      -101.1132
       4.105479,     0.05015263,              0,       127.2084,       -106.604
       4.107432,     0.04980834,              0,        112.871,      -109.5097
       4.109385,     0.04995589,              0,       120.6488,      -101.8477
       4.111328,     0.05005777,              0,       124.4877,       -108.602
       4.113281,     0.04982326,              0,       114.1155,      -105.5282
       4.115234,     0.05003446,              0,       124.3839,      -104.2257
       4.117188,     0.04997717,              0,       122.6222,      -107.8888
       4.119141,      0.0498882,              0,       119.7281,      -105.5121
       4.121094,     0.04996887,              0,       123.8905,      -104.7787
       4.123047,     0.04999034,              0,       124.7185,      -107.3118
          4.125,      0.0499015,              0,       120.0555,      -105.7839
       4.126953,     0.05001278,              0,       126.0169,      -106.1701
       4.128906,     0.04993315,              0,       122.9768,      -106.8169
       4.130859,      0.0499259,              0,         125.18,      -104.7366
       4.132813,     0.05003699,              0,       129.0941,      -106.6271
       4.134766,     0.04994494,              0,       123.7273,      -107.4372
       4.136719,     0.04993084,              0,       126.2961,      -104.6229
       4.138672,     0.05001658,              0,       129.9064,      -106.2969
       4.140625,     0.04992173,              0,       125.9692,      -106.9058
       4.142578,     0.04999428,              0,       129.2776,      -105.2826
       4.144531,     0.04992903,              0,       129.2903,      -106.1376
       4.146484,     0.04996583,              0,       131.6084,      -106.0333
       4.148438,     0.05000304,              0,       131.4425,      -107.9838
       4.150391,     0.04992031,              0,       128.1219,      -105.9366
       4.152344,     0.04991598,              0,       132.2438,      -104.6549
       4.154297,     0.05008706,              0,       135.4644,       -106.827
        4.15625,     0.04989536,              0,       130.6879,      -107.7629
       4.158223,     0.04995083,              0,       133.0079,      -105.4402
       4.160176,      0.0500113,              0,       133.9273,      -107.2579
       4.162129,      0.0498681,              0,        132.033,      -106.7492
