Group Signal ,Xx,Frame 102951,
Format,Real,Scaling,EU
Signals,X:1,X:3
Chan,1,3
Chan Name,I_001,I_003
Point,0 X,0 X

sec,g,mm/s

              0,     0.08370782,      -91.26288
    0.004882813,     0.09452886,      -72.37075
    0.009765625,      0.0940035,      -51.44273
     0.01464844,     0.09569468,      -28.92819
     0.01953125,      0.1011346,      -4.785924
     0.02441406,     0.09882839,       20.00907
     0.02929688,     0.08322778,       44.57159
     0.03417969,     0.07122566,       66.96967
      0.0390625,      0.0633871,       86.32807
     0.04394531,     0.05234339,       102.8221
     0.04882813,      0.0359835,       116.8699
     0.05371094,     0.01554931,       127.9245
     0.05859375,   -0.006037194,       133.7582
     0.06347656,     -0.0190857,       134.2935
     0.06835938,    -0.02944765,       130.4137
     0.07324219,    -0.05067043,       122.6082
       0.078125,     -0.0706644,       111.9809
     0.08300781,    -0.07782398,       98.32076
     0.08789063,     -0.0819857,       80.34829
     0.09277344,    -0.09502684,       58.43422
     0.09765625,       -0.10245,       34.75103
      0.1025391,    -0.09589343,       11.06203
      0.1074219,    -0.08868855,      -12.21472
      0.1123047,    -0.08540703,      -35.91911
      0.1171875,    -0.07857504,      -58.53821
      0.1220703,    -0.06726019,      -79.24626
      0.1269531,    -0.05107173,      -96.72295
      0.1318359,    -0.03094369,      -110.8717
      0.1367188,    -0.01779769,      -120.5318
      0.1416016,   -0.006589107,      -125.8764
      0.1464844,     0.01564646,      -128.1861
      0.1513672,     0.04076416,      -127.5013
        0.15625,     0.05150359,      -121.1641
      0.1611328,     0.06276783,      -109.5646
      0.1660156,     0.08387379,       -94.2514
      0.1708984,     0.09468321,      -76.49907
      0.1757813,     0.09360936,      -56.35598
      0.1806641,     0.09545834,      -34.59045
      0.1855469,       0.101476,      -11.08281
      0.1904297,      0.1001131,       13.24294
      0.1953125,     0.08927038,       37.45213
      0.2001953,     0.07908951,        60.2191
      0.2050781,     0.06726599,       80.37321
      0.2099609,     0.05319924,       97.41726
      0.2148438,     0.04535647,       112.0547
      0.2197266,     0.02274157,       123.9151
      0.2246094,   -0.004401762,       131.2602
      0.2294922,    -0.01771996,       133.4461
       0.234375,    -0.02455662,       130.8338
      0.2392578,    -0.04735204,       124.0785
      0.2441406,    -0.07027216,       114.1756
      0.2490234,    -0.07931903,       102.0535
      0.2539063,    -0.08575781,       85.91711
      0.2587891,    -0.09537566,        65.2587
      0.2636719,     -0.1024265,       41.98445
      0.2685547,     -0.1047305,       18.63985
      0.2734375,    -0.09611297,      -4.279388
      0.2783203,    -0.08432916,      -27.53824
      0.2832031,    -0.08071268,      -50.52267
      0.2880859,    -0.07547412,      -71.87856
      0.2929688,    -0.05716631,      -90.62689
      0.2978516,     -0.0308092,      -105.7305
      0.3027344,    -0.01949491,       -117.129
      0.3076172,    -0.01099257,      -124.1288
         0.3125,     0.01343086,      -127.2832
      0.3173828,      0.0401329,      -127.8594
      0.3222656,     0.05190273,      -124.1703
      0.3271484,     0.06492508,      -114.6009
