Group Signal ,Xx,Frame 52105,
Format,Real,Scaling,EU
Signals,X:1,X:3
Chan,1,3
Chan Name,I_001,I_003
Point,0 X,0 X

sec,g,mm/s

              0,     -0.0514999,      -3.184985
    0.004882813,    -0.04913101,       1.907446
    0.009765625,    -0.04400303,       7.119607
     0.01464844,    -0.03766423,       11.50953
     0.01953125,    -0.03002055,       15.27484
     0.02441406,    -0.01994993,       18.37184
     0.02929688,   -0.007746913,        20.4871
     0.03417969,    0.006732714,       21.53012
      0.0390625,     0.01668623,       21.32096
     0.04394531,     0.02433999,       20.02344
     0.04882813,     0.03770415,       17.49636
     0.05371094,     0.04627035,       13.88788
     0.05859375,     0.04895547,       9.513083
     0.06347656,      0.0493354,       4.765521
     0.06835938,     0.04937723,      0.1539897
     0.07324219,     0.04664129,       -4.43412
       0.078125,     0.03825506,      -8.774752
     0.08300781,     0.02776302,      -12.72084
     0.08789063,     0.01879069,      -15.59331
     0.09277344,    0.006822766,      -17.10873
     0.09765625,   -0.002997285,       -17.3482
      0.1025391,    -0.01777528,      -16.66277
      0.1074219,    -0.02980463,      -14.71728
      0.1123047,    -0.03754925,      -11.70197
      0.1171875,    -0.04270783,      -7.805392
      0.1220703,    -0.04718438,      -3.232184
      0.1269531,    -0.05207087,       1.782583
      0.1318359,    -0.04786716,       6.880315
      0.1367188,    -0.04206939,        11.7345
      0.1416016,    -0.03486172,        16.0768
      0.1464844,    -0.02713236,        19.3792
      0.1513672,    -0.01599046,        21.8053
        0.15625,   -0.002183681,       23.14217
      0.1611328,     0.01027496,       23.32481
      0.1660156,      0.0218199,       22.11241
      0.1708984,     0.02966574,       19.59319
      0.1757813,     0.03986211,       15.83165
      0.1806641,     0.04937206,       11.36186
      0.1855469,      0.0517928,       6.424665
      0.1904297,     0.04887986,        1.41492
      0.1953125,     0.04651278,      -3.705805
      0.2001953,     0.04392715,      -8.675173
      0.2050781,     0.03500247,        -13.224
      0.2099609,      0.0239637,      -16.81146
      0.2148438,     0.01340683,      -18.94137
      0.2197266,    0.003163181,      -19.82484
      0.2246094,    -0.01034576,      -19.47299
      0.2294922,    -0.02213749,      -18.14315
       0.234375,    -0.03265531,       -15.4588
      0.2392578,    -0.04015029,      -11.67379
      0.2441406,    -0.04593179,      -6.984139
      0.2490234,    -0.04841369,      -1.648625
      0.2539063,    -0.04987535,       4.109551
      0.2587891,    -0.04725651,       9.696921
      0.2636719,    -0.03782294,       14.47908
      0.2685547,    -0.02890667,       18.73045
      0.2734375,    -0.02263339,       22.30693
      0.2783203,     -0.0121519,       24.76059
      0.2832031,    0.003273424,       25.68854
      0.2880859,     0.01631928,       25.22879
      0.2929688,     0.02344196,       23.53608
      0.2978516,       0.033944,       20.34959
      0.3027344,     0.04550899,       16.05542
