Group Signal ,Xx,Frame 103158,
Format,Real,Scaling,EU
Signals,X:1,X:3
Chan,1,3
Chan Name,I_001,I_003
Point,0 X,0 X

sec,g,mm/s

              0,     0.02866311,       52.90238
    0.004882813,      0.0231346,       60.77171
    0.009765625,     0.01123071,       66.62431
     0.01464844,     0.00108499,       70.77969
     0.01953125,   -0.007442669,       72.67133
     0.02441406,    -0.01343751,       71.72475
     0.02929688,     -0.0228089,       68.27666
     0.03417969,    -0.03057893,       62.86395
      0.0390625,    -0.03918466,       56.11063
     0.04394531,    -0.04430011,       47.54835
     0.04882813,    -0.04494121,       36.39571
     0.05371094,    -0.04654144,       24.26604
     0.05859375,    -0.05272636,        12.2805
     0.06347656,    -0.04794697,     -0.1445108
     0.06835938,     -0.0405952,      -12.94309
     0.07324219,    -0.04055088,      -25.41961
       0.078125,    -0.03878895,      -36.35799
     0.08300781,    -0.02516305,      -45.57425
     0.08789063,    -0.01610533,      -54.06458
     0.09277344,      -0.014346,       -61.1324
     0.09765625,   -0.005570517,      -65.19689
      0.1025391,    0.005905743,      -66.43574
      0.1074219,     0.01702675,      -66.43808
      0.1123047,     0.02575988,      -64.82504
      0.1171875,     0.03237294,      -59.80699
      0.1220703,     0.03714456,      -52.01416
      0.1269531,     0.04423305,      -42.97576
      0.1318359,     0.05198432,       -32.9803
      0.1367188,     0.05026973,      -21.39964
      0.1416016,     0.04499135,      -8.578684
      0.1464844,     0.05087381,       4.340271
      0.1513672,     0.05209041,       16.86009
        0.15625,     0.03883146,       29.20406
      0.1611328,     0.03272101,       40.98524
      0.1660156,     0.03236612,       51.33355
      0.1708984,     0.02303067,       59.53176
      0.1757813,     0.01219326,       65.70423
      0.1806641,    0.003723854,       70.20095
      0.1855469,   -0.005243524,       72.48564
      0.1904297,    -0.01482389,       71.89767
      0.1953125,    -0.02020303,       69.01729
      0.2001953,    -0.02909613,       63.94807
      0.2050781,    -0.03937897,       57.49132
      0.2099609,    -0.04167311,       49.11205
      0.2148438,    -0.04320182,       38.21582
      0.2197266,    -0.04999821,       26.22343
      0.2246094,    -0.05333669,       14.33945
      0.2294922,    -0.04566105,       1.744779
       0.234375,     -0.0394652,      -11.23496
      0.2392578,    -0.04346907,      -24.01337
      0.2441406,    -0.03990855,      -35.17799
      0.2490234,    -0.02816585,      -44.90754
      0.2539063,    -0.01733005,      -53.50612
      0.2587891,    -0.01285719,      -61.11247
      0.2636719,   -0.007302004,      -65.68609
      0.2685547,    0.002180026,      -67.57706
      0.2734375,     0.01743508,      -67.60831
      0.2783203,      0.0265874,      -66.13416
      0.2832031,     0.03001075,      -61.69464
      0.2880859,     0.03352118,      -54.45965
      0.2929688,     0.04529199,      -45.32376
      0.2978516,     0.05228989,      -35.27969
      0.3027344,     0.04849588,      -23.98607
      0.3076172,     0.04748114,      -11.43441
         0.3125,     0.05029809,       1.864135
      0.3173828,      0.0505063,       14.47263
      0.3222656,     0.04335896,       27.02273
