Sig Name,Drive F,Frame 52105,
Format,Mag,Scaling,EU

Hz,V
              6,     0.01758301
       6.001738,     0.01843128
       6.003574,     0.01829798
        6.00541,     0.01821027
       6.007207,     0.01825063
       6.009043,     0.01830493
       6.010879,      0.0181933
       6.012715,     0.01818709
       6.014551,     0.01822494
       6.016387,     0.01825869
       6.018223,     0.01819391
       6.020059,     0.01808774
       6.021855,     0.01814916
       6.023691,     0.01817498
       6.025527,     0.01812202
       6.027363,     0.01802848
       6.029199,     0.01809592
       6.031035,     0.01811007
       6.032871,     0.01806165
       6.034707,     0.01804602
       6.036504,     0.01804761
        6.03834,     0.01803027
       6.040176,     0.01798289
       6.042012,     0.01796566
       6.043848,     0.01801447
       6.045664,     0.01797975
         6.0475,     0.01791978
       6.049336,     0.01795449
       6.051172,     0.01796364
       6.053008,     0.01790188
       6.054844,      0.0178404
        6.05668,      0.0179028
       6.058516,     0.01789653
       6.060312,     0.01783665
       6.062149,     0.01780749
       6.063984,     0.01780925
        6.06582,     0.01784987
       6.067656,     0.01777847
       6.069492,     0.01770388
       6.071328,     0.01776653
       6.073164,     0.01780375
       6.074961,     0.01774882
       6.076797,     0.01765046
       6.078633,     0.01768055
       6.080469,     0.01773572
       6.082304,     0.01776868
       6.084141,      0.0176706
       6.085977,     0.01758883
       6.087812,     0.01760129
       6.089648,     0.01763594
       6.091445,     0.01762905
       6.093281,     0.01758062
       6.095117,     0.01755151
       6.096953,      0.0175674
       6.098789,     0.01755898
       6.100625,     0.01754401
       6.102461,     0.01753354
       6.104297,     0.01749874
       6.106094,     0.01748921
        6.10793,     0.01747586
       6.109766,     0.01746327
       6.111601,     0.01744015
       6.113438,     0.01743499
       6.115273,      0.0174512
       6.117109,     0.01742001
       6.118945,     0.01739791
       6.120742,     0.01737477
       6.122578,     0.01736395
       6.124414,     0.01732907
        6.12625,     0.01729893
       6.128086,     0.01729446
       6.129922,     0.01733914
       6.131758,     0.01733974
       6.133594,     0.01724299
        6.13541,     0.01726027
       6.137246,     0.01725514
       6.139082,     0.01723975
       6.140918,     0.01723187
       6.142754,      0.0172148
       6.144551,     0.01719001
       6.146387,     0.01716396
       6.148222,     0.01717113
       6.150059,     0.01719819
