Group Signal ,Hxy,Frame 103158,
Format,Mag/Phase,Scaling,Ratio
Signals,H:1,,H:3,
Chan,1,,3,
Chan Name,I_001,,I_003,
Point,0 X,,0 X,

Hz,g/V,deg,(mm/s)/V,deg
Scaling,Mag,Phase,Mag,Phase
            5.2,       2.062242,       118.2419,       1612.252,       17.47711
            5.4,        2.18623,       115.3803,       1839.443,       14.36675
            5.6,        2.29468,       111.8461,       2168.637,       9.348734
            5.8,       2.526234,       106.5124,       3039.876,       1.382612
              6,       2.689396,       107.1435,       3622.283,       10.58585
            6.2,       3.145125,       103.3497,       6831.673,       7.138513
            6.4,       3.415146,       89.37621,       15594.93,      -29.61023
            6.6,       2.705578,       64.19304,       33318.07,      -84.96749
            6.8,        2.31137,       97.30798,       18104.46,      -150.4046
              7,        3.14501,       96.61555,       7324.542,      -173.3493
            7.2,       3.506052,       92.46558,       4705.994,       179.9116
            7.4,        3.78126,       89.02745,       3746.196,       172.3857
            7.6,       4.001657,       82.49915,       2758.806,       166.0091
            7.8,       3.913988,       77.99293,       2185.656,       162.2967
              8,       3.883999,       75.75544,       1681.698,       158.0805
            8.2,       3.964458,       76.73448,       1488.208,       157.3982
       8.400001,       4.219901,       75.63392,       1294.113,       158.9553
            8.6,       4.481053,        75.0259,       1211.287,       157.2106
            8.8,        4.80801,       73.10612,       1120.434,       155.1664
              9,       5.028968,       70.75569,       1031.323,       154.5165
            9.2,       5.241112,       68.49908,        984.966,       153.0023
       9.400001,        5.58158,       65.18186,       935.6192,       150.1196
            9.6,       5.959466,       63.14801,       884.2022,       146.8609
            9.8,       6.165545,       59.43081,       833.0828,       144.2644
             10,       6.527187,        56.3426,       798.1648,       140.8879
           10.2,       6.875435,       53.69276,       775.2681,       138.3487
           10.4,       7.179852,       49.95511,       747.0209,       135.1239
           10.6,       7.534222,       45.60624,       721.0486,       130.7357
           10.8,       7.858984,       40.80511,       692.8532,       126.3081
             11,        8.30206,       34.91368,       663.2717,       120.3158
           11.2,       8.408966,       29.75708,       630.0404,       115.6887
           11.4,       8.392402,       22.99694,       584.5625,       109.8579
           11.6,       7.872488,       17.87968,       515.7958,       105.6867
           11.8,       7.063661,       11.78943,       434.1503,       100.1026
             12,       6.430968,       11.74767,       377.5156,       102.4054
           12.2,       6.094226,       14.06492,        352.479,       106.6495
           12.4,       5.933861,       16.74442,       334.9258,       108.0478
           12.6,       6.107266,        19.3062,       323.3715,       109.1375
           12.8,       6.277444,       20.47393,       322.3398,       108.0526
             13,       6.442642,       21.81419,       353.0443,        112.056
           13.2,       6.977793,       21.53181,       346.5578,       100.6791
           13.4,       7.297711,        21.3809,       326.5609,       104.2432
           13.6,       7.626716,       20.64433,       318.0673,       106.1752
           13.8,       7.996691,        19.3948,       317.8952,       102.4525
             14,       8.253803,       17.66158,       306.3621,       101.2541
           14.2,       8.683455,       15.04121,       288.4195,       99.13313
           14.4,       8.988499,       13.63228,       284.3833,       97.21981
           14.6,       9.356421,       11.61623,       277.5987,       94.98088
           14.8,       9.590779,       9.453842,       273.1521,       92.35877
             15,       10.04175,       6.731613,       269.7796,       89.81409
           15.2,        10.2152,       4.783713,       265.1883,       89.80309
           15.4,       10.39125,       2.750702,       262.2877,       88.76517
           15.6,       10.87208,    -0.05950729,       259.2721,       85.67421
           15.8,       11.08694,      -1.711377,       250.9831,       84.12014
             16,       11.41325,      -4.383233,       247.2447,       81.89706
           16.2,       11.64587,      -6.336846,       245.5194,       79.83571
           16.4,       11.97721,       -7.84714,       247.6034,       77.97897
           16.6,       12.58786,      -11.10788,       242.6459,       74.21967
           16.8,       12.69188,      -13.23857,       237.0408,       72.92701
             17,       12.89023,      -15.56324,       233.4126,        70.3619
           17.2,       13.24716,      -17.32666,       231.3308,       68.68006
           17.4,       13.52819,      -19.76482,       227.5336,       67.04553
           17.6,       13.64474,      -21.70239,       224.7187,       65.48275
           17.8,       13.99658,      -24.35257,       220.5746,        61.5854
             18,       14.47641,      -27.28948,       218.9487,       59.37136
           18.2,       14.47542,      -28.99376,       215.2407,       58.91714
           18.4,       14.84274,      -31.80946,       210.7425,       55.53198
           18.6,       15.02153,       -33.6957,        208.861,       53.48355
           18.8,       15.14426,      -35.57508,       205.3197,       51.79612
             19,       15.74372,      -39.03563,       206.0896,       47.75576
           19.2,       15.95846,      -40.42221,       205.2361,       46.81079
           19.4,        16.3352,      -42.40051,       203.3657,       45.02348
           19.6,       16.55355,      -44.91225,       200.3719,       42.92858
           19.8,       16.58535,      -46.27231,       196.9389,       44.10092
             20,       16.65054,      -47.54727,       191.4266,       41.62341
