Group Signal ,Sx,Frame 52105,
Format,Mag/Phase,Scaling,EU
Signals,S:1,,S:3,
Chan,1,,3,
Chan Name,I_001,,I_003,
Point,0 X,,0 X,

Hz,g,deg,mm/s,deg
Scaling,Mag,Phase,Mag,Phase
              6,     0.04767513,              0,       68.28618,        -101.64
       6.001738,     0.05034586,              0,       72.39166,      -101.7111
       6.003574,     0.05024039,              0,       72.40588,      -98.77817
        6.00541,     0.04976805,              0,       67.82136,      -99.97631
       6.007207,     0.04977761,              0,       71.06661,      -104.0303
       6.009043,     0.05040849,              0,       73.82057,      -101.0124
       6.010879,      0.0500369,              0,       71.02295,      -99.65127
       6.012715,     0.04991979,              0,       68.92689,      -101.0738
       6.014551,     0.04997534,              0,       71.84101,      -103.2704
       6.016387,     0.05033971,              0,       75.97922,      -101.6232
       6.018223,     0.05023321,              0,       72.93532,      -98.36993
       6.020059,     0.04964388,              0,       68.67992,      -101.7496
       6.021855,     0.04991603,              0,       72.65658,       -103.329
       6.023691,     0.05029988,              0,       75.70064,       -101.855
       6.025527,     0.05008993,              0,       73.41366,      -99.61642
       6.027363,     0.04976582,              0,       70.75189,      -101.0991
       6.029199,     0.04995946,              0,       73.03837,      -102.2296
       6.031035,     0.05022801,              0,       74.82203,      -101.1685
       6.032871,     0.05014436,              0,       74.30665,      -100.2286
       6.034707,     0.04997611,              0,       71.80354,      -100.2923
       6.036504,     0.05003952,              0,       74.47852,      -101.2786
        6.03834,     0.05012185,              0,       74.48442,      -100.3058
       6.040176,     0.05001459,              0,       72.86337,      -99.37849
       6.042012,     0.04990678,              0,       73.16521,      -102.3656
       6.043848,     0.05013345,              0,       75.42191,      -100.9296
       6.045664,     0.05018076,              0,       76.05986,      -99.71558
         6.0475,     0.04990453,              0,       72.22949,      -100.5662
       6.049336,     0.05003673,              0,       74.71551,      -102.1198
       6.051172,     0.05026795,              0,        77.2126,      -100.7895
       6.053008,     0.05004373,              0,       75.61192,      -99.25352
       6.054844,     0.04980714,              0,       74.06647,      -101.3614
        6.05668,     0.05005519,              0,       76.51814,      -101.6718
       6.058516,      0.0501086,              0,       76.46133,      -100.6899
       6.060312,     0.04997405,              0,       75.88319,      -99.77725
       6.062149,     0.04986013,              0,       74.32579,       -100.878
       6.063984,     0.04988849,              0,       76.52237,      -103.0429
        6.06582,     0.05029094,              0,       80.46413,      -101.4434
       6.067656,     0.05016245,              0,       77.83077,      -99.20171
       6.069492,      0.0497971,              0,       75.39209,      -100.1147
       6.071328,      0.0498665,              0,       76.35475,      -102.2184
       6.073164,     0.05013977,              0,       79.49033,       -102.147
       6.074961,      0.0502173,              0,       79.55614,       -99.9182
       6.076797,     0.04997454,              0,       76.79877,       -99.7467
       6.078633,     0.04996035,              0,       76.47562,       -101.329
       6.080469,     0.05011826,              0,       79.21066,      -102.4328
       6.082304,      0.0503186,              0,       80.84584,      -101.1851
       6.084141,     0.05014073,              0,       80.27625,      -99.84863
       6.085977,     0.04982772,              0,       78.24339,      -100.2413
       6.087812,     0.04982719,              0,        78.3884,      -102.2954
       6.089648,     0.05016197,              0,        81.2684,      -102.3354
       6.091445,     0.05028423,              0,       81.57159,      -100.7104
       6.093281,     0.04998778,              0,       79.79681,      -100.2286
       6.095117,     0.04983522,              0,       80.11697,      -101.6192
       6.096953,     0.05005496,              0,       81.14476,      -101.4732
       6.098789,     0.05005207,              0,       81.24609,      -101.3981
       6.100625,     0.05007317,              0,        81.7847,      -101.6515
       6.102461,     0.05006461,              0,       81.76097,      -101.5609
       6.104297,     0.05002823,              0,        82.1516,      -100.9071
       6.106094,     0.05000733,              0,       81.18029,      -101.8179
        6.10793,     0.05010088,              0,       83.48415,      -101.4359
       6.109766,       0.050088,              0,       82.70591,      -101.2728
       6.111601,     0.05005721,              0,       82.21143,      -101.0342
       6.113438,     0.05002025,              0,       83.08311,       -101.682
       6.115273,     0.05010208,              0,       83.18457,      -101.3319
       6.117109,     0.05006611,              0,        84.2603,      -101.3167
       6.118945,      0.0500434,              0,       83.91873,      -101.9861
       6.120742,     0.05003684,              0,       84.73621,      -101.2667
       6.122578,     0.05011233,              0,       86.60801,      -102.0214
       6.124414,     0.05016121,              0,        86.4737,      -100.4578
        6.12625,     0.04993913,              0,       83.29005,      -100.3462
       6.128086,     0.04982121,              0,       82.81581,      -102.4022
       6.129922,     0.05008733,              0,       87.17979,      -102.7481
       6.131758,     0.05026656,              0,       86.91405,      -101.4073
       6.133594,     0.04996773,              0,       85.68853,      -101.1869
        6.13541,     0.05000108,              0,       85.94816,      -101.2886
       6.137246,     0.05008129,              0,       86.60621,      -101.4304
       6.139082,     0.05003205,              0,       86.60522,       -101.371
       6.140918,     0.04999183,              0,       86.90966,       -102.134
       6.142754,     0.04998619,              0,       87.16199,      -101.1449
       6.144551,     0.04997257,              0,       86.03015,      -100.9635
       6.146387,     0.04994524,              0,       86.21875,       -101.407
       6.148222,     0.04998808,              0,       87.82166,      -102.0019
       6.150059,     0.05028813,              0,        87.7628,      -100.3611
